RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41599,2019, 1, 2,    18.00,     5.80, -9999.00, -9999.00,     0.00
     3, 41599,2019, 1, 4, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     4, 41599,2019, 1, 4,    10.00,     3.40, -9999.00, -9999.00,     0.00
     5, 41599,2019, 1, 5,    10.00,     7.00, -9999.00, -9999.00,     8.00
     6, 41599,2019, 1, 6,    16.50,     4.60, -9999.00, -9999.00,     0.00
     7, 41599,2019, 1, 7,    10.50,     8.00, -9999.00, -9999.00,     0.00
     8, 41599,2019, 1, 8,    18.40,     3.80, -9999.00, -9999.00,     0.00
     9, 41599,2019, 1,10, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    10, 41599,2019, 1,10,    17.70,     3.50, -9999.00, -9999.00,     0.00
    11, 41599,2019, 1,11,    19.40,     4.80, -9999.00, -9999.00,     0.00
    12, 41599,2019, 1,12,    16.80,     7.20, -9999.00, -9999.00,     0.00
    13, 41599,2019, 1,13,    18.50,     8.20, -9999.00, -9999.00,     1.00
    14, 41599,2019, 1,14,    18.50,     3.70, -9999.00, -9999.00,     0.00
    15, 41599,2019, 1,15,    18.60,     3.50, -9999.00, -9999.00,     0.00
    16, 41599,2019, 1,16,    16.60,     4.40, -9999.00, -9999.00,     0.00
    17, 41599,2019, 1,17,    21.50,     0.10, -9999.00, -9999.00,     0.00
    18, 41599,2019, 1,18,    17.50,     1.30, -9999.00, -9999.00,     0.00
    19, 41599,2019, 1,19,    19.20,     4.30, -9999.00, -9999.00,     0.00
    20, 41599,2019, 1,20,    19.20,     6.40, -9999.00, -9999.00,     0.00
    21, 41599,2019, 1,21,    13.20,     8.80, -9999.00, -9999.00,    10.40
    22, 41599,2019, 1,22,    13.20,    10.30, -9999.00, -9999.00,    28.40
    23, 41599,2019, 1,23,    16.00,     5.10, -9999.00, -9999.00,     9.20
    24, 41599,2019, 1,24,    16.80,     4.20, -9999.00, -9999.00,     0.00
    25, 41599,2019, 1,25,    16.50,     4.60, -9999.00, -9999.00,     0.00
    26, 41599,2019, 1,26,    17.00,     3.00, -9999.00, -9999.00,     0.00
    27, 41599,2019, 1,27,    16.80,     3.50, -9999.00, -9999.00,     0.00
    28, 41599,2019, 1,28,    18.40,     2.50, -9999.00, -9999.00,     0.00
    29, 41599,2019, 1,29,    19.30,     1.40, -9999.00, -9999.00,     0.00
    30, 41599,2019, 1,30,    14.50,     3.80, -9999.00, -9999.00,     0.00
    31, 41599,2019, 1,31,    15.10,     8.30, -9999.00, -9999.00,     2.20
    32, 41599,2019, 2, 1,    16.10,     8.80, -9999.00, -9999.00,     7.80
    33, 41599,2019, 2, 2,    20.30,     4.80, -9999.00, -9999.00,     0.00
    34, 41599,2019, 2, 3,    21.00,     5.10, -9999.00, -9999.00,     0.00
    35, 41599,2019, 2, 4,    20.30,     6.10, -9999.00, -9999.00,     0.00
    36, 41599,2019, 2, 5,    21.10,     8.30, -9999.00, -9999.00,     0.00
    37, 41599,2019, 2, 6,    14.20,     8.30, -9999.00, -9999.00,     1.00
    38, 41599,2019, 2, 7,    13.60,     9.10, -9999.00, -9999.00,    20.00
    39, 41599,2019, 2, 8,    18.40,     7.50, -9999.00, -9999.00,     9.00
    40, 41599,2019, 2, 9,    19.10,     4.80, -9999.00, -9999.00,     0.00
    41, 41599,2019, 2,10,    20.20,     5.60, -9999.00, -9999.00,     0.00
    42, 41599,2019, 2,11,    20.80,     8.30, -9999.00, -9999.00,     0.00
    43, 41599,2019, 2,12,    17.20,     8.80, -9999.00, -9999.00,     0.00
    44, 41599,2019, 2,13,    21.00,    10.00, -9999.00, -9999.00,     0.00
