RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41646,2019, 1, 2,    17.50,     8.50, -9999.00, -9999.00,     0.00
     3, 41646,2019, 1, 3,    19.50,     4.50, -9999.00, -9999.00,     0.00
     4, 41646,2019, 1, 4,    18.00,     5.00, -9999.00, -9999.00,     0.00
     5, 41646,2019, 1, 5,    13.50,    10.00, -9999.00, -9999.00,     0.00
     6, 41646,2019, 1, 6,    18.50,     7.00, -9999.00, -9999.00,     0.00
     7, 41646,2019, 1, 7,    22.10,     9.00, -9999.00, -9999.00,     0.00
     8, 41646,2019, 1, 9, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     9, 41646,2019, 1, 9,    21.50,     6.00, -9999.00, -9999.00,     0.00
    10, 41646,2019, 1,10,    21.50,     6.50, -9999.00, -9999.00,     0.00
    11, 41646,2019, 1,11,    21.00,    12.00, -9999.00, -9999.00,     0.00
    12, 41646,2019, 1,12,    18.00,     8.50, -9999.00, -9999.00,     6.00
    13, 41646,2019, 1,13,    19.20,     8.60, -9999.00, -9999.00,     7.00
    14, 41646,2019, 1,14,    18.00,     5.00, -9999.00, -9999.00,     0.00
    15, 41646,2019, 1,15,    20.00,     4.50, -9999.00, -9999.00,     0.00
    16, 41646,2019, 1,16,    19.00,     5.00, -9999.00, -9999.00,     0.00
    17, 41646,2019, 1,17,    19.50,     4.00, -9999.00, -9999.00,     0.00
    18, 41646,2019, 1,18,    21.50,     5.50, -9999.00, -9999.00,     0.00
    19, 41646,2019, 1,19,    21.50,     9.50, -9999.00, -9999.00,     0.00
    20, 41646,2019, 1,20,    21.50,     9.50, -9999.00, -9999.00,     0.00
    21, 41646,2019, 1,21,    14.00,    10.00, -9999.00, -9999.00,     6.00
    22, 41646,2019, 1,22,    17.20,     9.50, -9999.00, -9999.00,     8.00
    23, 41646,2019, 1,23,    15.20,     8.50, -9999.00, -9999.00,   464.40
    24, 41646,2019, 1,24,    16.00,     6.00, -9999.00, -9999.00,     0.00
    25, 41646,2019, 1,25,    18.00,     4.00, -9999.00, -9999.00,     0.00
