RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41672,2019, 1, 2,    20.50,    12.00, -9999.00, -9999.00,     0.00
     3, 41672,2019, 1, 3,    12.00,     4.50, -9999.00, -9999.00,     0.00
     4, 41672,2019, 1, 5, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     5, 41672,2019, 1, 5,    25.00,     9.00, -9999.00, -9999.00,     0.00
     6, 41672,2019, 1, 6,    19.50,     6.00, -9999.00, -9999.00,     0.00
     7, 41672,2019, 1, 7,     5.50,     5.50, -9999.00, -9999.00,     0.00
     8, 41672,2019, 1, 8,    20.50,     8.50, -9999.00, -9999.00,     0.00
     9, 41672,2019, 1, 9,     8.50,     5.00, -9999.00, -9999.00,     0.00
    10, 41672,2019, 1,10,    21.00,     5.50, -9999.00, -9999.00,     0.00
    11, 41672,2019, 1,11,    21.50,    10.00, -9999.00, -9999.00,     0.00
    12, 41672,2019, 1,12,    16.00,     9.00, -9999.00, -9999.00,     0.00
    13, 41672,2019, 1,14, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    14, 41672,2019, 1,14,    18.00,     4.00, -9999.00, -9999.00,     0.00
    15, 41672,2019, 1,15,    15.00,     5.50, -9999.00, -9999.00,     0.00
    16, 41672,2019, 1,16,    19.50,     5.00, -9999.00, -9999.00,     0.00
    17, 41672,2019, 1,17,    12.00,     2.50, -9999.00, -9999.00,     0.00
    18, 41672,2019, 1,18,     9.00,     2.90, -9999.00, -9999.00,     0.00
    19, 41672,2019, 1,19,    22.50,    10.00, -9999.00, -9999.00,     0.00
    20, 41672,2019, 1,20,    10.00,     8.90, -9999.00, -9999.00, -9999.00
    21, 41672,2019, 1,21,    12.00,    12.00, -9999.00, -9999.00,     0.00
    22, 41672,2019, 1,22,    11.50,     6.00, -9999.00, -9999.00,     0.00
    23, 41672,2019, 1,23,    12.50,     9.00, -9999.00, -9999.00,     0.00
    24, 41672,2019, 1,24,    17.50,     6.90, -9999.00, -9999.00,     0.00
    25, 41672,2019, 1,25,    18.50,     4.50, -9999.00, -9999.00,     0.00
    26, 41672,2019, 1,26,    16.00,     2.50, -9999.00, -9999.00,     0.00
    27, 41672,2019, 1,27,    20.00,     2.90, -9999.00, -9999.00,     0.00
    28, 41672,2019, 1,28,    21.50,     5.00, -9999.00, -9999.00,     0.00
    29, 41672,2019, 1,29,    20.50,     4.90, -9999.00, -9999.00,     0.00
    30, 41672,2019, 1,30,    16.50,     4.40, -9999.00, -9999.00,     0.00
    31, 41672,2019, 1,31,    12.00,     9.50, -9999.00, -9999.00,     3.00
    32, 41672,2019, 2, 1,    17.00,     8.50, -9999.00, -9999.00,     1.00
    33, 41672,2019, 2, 2,    20.50,     5.50, -9999.00, -9999.00,     0.00
    34, 41672,2019, 2, 3,    22.00,     5.50, -9999.00, -9999.00,     0.00
    35, 41672,2019, 2, 4,    23.00,     7.50, -9999.00, -9999.00,     0.00
    36, 41672,2019, 2, 5,     8.40,    10.00, -9999.00, -9999.00,     0.00
    37, 41672,2019, 2, 6,    18.50,    10.50, -9999.00, -9999.00,     1.00
    38, 41672,2019, 2, 7,    17.50,     8.00, -9999.00, -9999.00,     2.00
    39, 41672,2019, 2, 8,    18.00,     6.00, -9999.00, -9999.00,     0.00
    40, 41672,2019, 2, 9,    17.00,     4.00, -9999.00, -9999.00,     0.00
    41, 41672,2019, 2,10,    21.00,     7.50, -9999.00, -9999.00,     0.00
    42, 41672,2019, 2,11,    21.50,     7.90, -9999.00, -9999.00,     0.00
    43, 41672,2019, 2,12,    20.50,     8.90, -9999.00, -9999.00,     0.00
    44, 41672,2019, 2,13,    16.00,     9.00, -9999.00, -9999.00,     0.00
    45, 41672,2019, 2,14,    21.00,     9.90, -9999.00, -9999.00,     1.00
    46, 41672,2019, 2,15,    21.50,     9.00, -9999.00, -9999.00,     0.00
    47, 41672,2019, 2,16,    23.00,    10.50, -9999.00, -9999.00,     0.00
    48, 41672,2019, 2,17,    23.50,     7.90, -9999.00, -9999.00,     0.00
    49, 41672,2019, 2,18,    12.50,    11.40, -9999.00, -9999.00,     1.00
    50, 41672,2019, 2,19,    15.00,     5.50, -9999.00, -9999.00,     1.00
    51, 41672,2019, 2,20,    13.00,    11.50, -9999.00, -9999.00,     0.00
    52, 41672,2019, 2,21,    19.50,    11.50, -9999.00, -9999.00,    27.00
    53, 41672,2019, 2,22,    22.50,     6.50, -9999.00, -9999.00,     0.00
    54, 41672,2019, 2,23,    23.00,     6.50, -9999.00, -9999.00,    23.50
    55, 41672,2019, 2,24,    23.50,    16.50, -9999.00, -9999.00,     0.00
    56, 41672,2019, 2,25,    22.50,     8.90, -9999.00, -9999.00,     0.00
    57, 41672,2019, 2,26,    20.50,     6.00, -9999.00, -9999.00,     0.00
    58, 41672,2019, 2,27,    20.00,     6.90, -9999.00, -9999.00,     0.00
    59, 41672,2019, 2,28,    21.00,    14.00, -9999.00, -9999.00,     0.00
    60, 41672,2019, 3, 2, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    61, 41672,2019, 3, 2,    13.50,    13.50, -9999.00, -9999.00,     0.00
    62, 41672,2019, 3, 3,    14.00,    12.00, -9999.00, -9999.00,     3.00
    63, 41672,2019, 3, 4,    22.00,    12.00, -9999.00, -9999.00,     0.00
    64, 41672,2019, 3, 5,    24.00,     9.50, -9999.00, -9999.00,     0.00
    65, 41672,2019, 3, 6,    26.00,     9.50, -9999.00, -9999.00,     0.00
    66, 41672,2019, 3, 7,    26.00,    13.00, -9999.00, -9999.00,     0.00
    67, 41672,2019, 3, 8,    18.00,    13.00, -9999.00, -9999.00,     0.00
    68, 41672,2019, 3, 9,    25.50,    10.00, -9999.00, -9999.00,     0.00
    69, 41672,2019, 3,10,    26.00,    11.00, -9999.00, -9999.00,     0.00
    70, 41672,2019, 3,11,    18.00,    18.00, -9999.00, -9999.00,     0.00
    71, 41672,2019, 3,12,    23.00,    10.00, -9999.00, -9999.00,     0.00
    72, 41672,2019, 3,13,    14.50,    11.50, -9999.00, -9999.00,     0.00
    73, 41672,2019, 3,14,    23.00,    16.00, -9999.00, -9999.00,   360.00
    74, 41672,2019, 3,15,    22.00,    11.00, -9999.00, -9999.00,     0.00
    75, 41672,2019, 3,16,    26.00,    12.50, -9999.00, -9999.00,     0.00
    76, 41672,2019, 3,17,    28.00,    13.00, -9999.00, -9999.00,     0.00
    77, 41672,2019, 3,18,    26.00,    12.50, -9999.00, -9999.00,     0.00
    78, 41672,2019, 3,19,    28.50,    27.00, -9999.00, -9999.00,     0.00
    79, 41672,2019, 3,20,    25.00,    25.00, -9999.00, -9999.00,     0.00
    80, 41672,2019, 3,21,    28.00,    27.00, -9999.00, -9999.00,     0.00
    81, 41672,2019, 3,22,    29.00,    28.00, -9999.00, -9999.00,     0.00
    82, 41672,2019, 3,23,    25.00,    16.50, -9999.00, -9999.00, -9999.00
    83, 41672,2019, 3,24,    24.00,    15.50, -9999.00, -9999.00,     0.00
    84, 41672,2019, 3,25,    30.50,    16.00, -9999.00, -9999.00,     0.00
    85, 41672,2019, 3,26,    31.50,    15.50, -9999.00, -9999.00,     0.00
    86, 41672,2019, 3,27,    20.50,    18.00, -9999.00, -9999.00,     0.00
