RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41669,2019, 1, 2,    21.00,     5.00, -9999.00, -9999.00,     0.00
     3, 41669,2019, 1, 3,    21.00,     5.00, -9999.00, -9999.00,     0.00
     4, 41669,2019, 1, 4,    19.00,     5.00, -9999.00, -9999.00,     0.00
     5, 41669,2019, 1, 5,    10.50,     9.50, -9999.00, -9999.00,     0.00
     6, 41669,2019, 1, 6,    20.00,     3.50, -9999.00, -9999.00,     0.00
     7, 41669,2019, 1, 7,    12.50,     6.50, -9999.00, -9999.00,     0.00
     8, 41669,2019, 1, 8,    21.00,     3.00, -9999.00, -9999.00,     0.00
     9, 41669,2019, 1, 9,    23.00,     3.00, -9999.00, -9999.00,     0.00
    10, 41669,2019, 1,10,    21.50,     3.00, -9999.00, -9999.00,     0.00
    11, 41669,2019, 1,11,    20.50,    10.00, -9999.00, -9999.00,     1.00
    12, 41669,2019, 1,12,    18.00,     4.50, -9999.00, -9999.00,     1.00
    13, 41669,2019, 1,13,    18.00,     3.00, -9999.00, -9999.00,     0.00
    14, 41669,2019, 1,14,    21.00,     4.00, -9999.00, -9999.00,     0.00
    15, 41669,2019, 1,15,    22.00,     4.50, -9999.00, -9999.00,     0.00
    16, 41669,2019, 1,16,    20.00,     5.50, -9999.00, -9999.00,     0.00
    17, 41669,2019, 1,17,    22.00,     3.00, -9999.00, -9999.00,     0.00
    18, 41669,2019, 1,18,    22.00,     3.50, -9999.00, -9999.00,     0.00
    19, 41669,2019, 1,19,    22.50,     6.50, -9999.00, -9999.00,     0.00
    20, 41669,2019, 1,20,    13.00,     7.00, -9999.00, -9999.00,     0.00
    21, 41669,2019, 1,21,    17.50,     7.00, -9999.00, -9999.00,     1.00
    22, 41669,2019, 1,22,    16.50,     5.00, -9999.00, -9999.00,     0.00
    23, 41669,2019, 1,23,    17.50,     5.00, -9999.00, -9999.00,     2.00
    24, 41669,2019, 1,24,    19.00,     4.50, -9999.00, -9999.00,     0.00
    25, 41669,2019, 1,25,    20.00,     2.50, -9999.00, -9999.00,     0.00
    26, 41669,2019, 1,26,    18.00,     2.00, -9999.00, -9999.00,     0.00
    27, 41669,2019, 1,27,    21.00,     2.00, -9999.00, -9999.00,     0.00
    28, 41669,2019, 1,28,    23.00,     2.50, -9999.00, -9999.00,     0.00
    29, 41669,2019, 1,29,    21.00,     3.50, -9999.00, -9999.00,     0.00
    30, 41669,2019, 1,30,    13.00,     4.50, -9999.00, -9999.00,     6.80
    31, 41669,2019, 1,31,    12.00,     9.00, -9999.00, -9999.00,    52.00
    32, 41669,2019, 2, 1,    17.50,     7.00, -9999.00, -9999.00,     3.50
    33, 41669,2019, 2, 2,    21.00,     6.00, -9999.00, -9999.00,     0.00
    34, 41669,2019, 2, 3,    23.00,     6.00, -9999.00, -9999.00,     0.00
    35, 41669,2019, 2, 4,    22.00,     6.00, -9999.00, -9999.00,     0.00
    36, 41669,2019, 2, 5,    23.50,     6.00, -9999.00, -9999.00,     0.00
    37, 41669,2019, 2, 6,    20.50,     6.00, -9999.00, -9999.00,     1.00
    38, 41669,2019, 2, 7,    20.50,     5.50, -9999.00, -9999.00,     0.00
    39, 41669,2019, 2, 8,    16.00,     5.50, -9999.00, -9999.00,     0.00
    40, 41669,2019, 2, 9,    23.00,     4.50, -9999.00, -9999.00,     0.00
    41, 41669,2019, 2,10,    22.50,     4.00, -9999.00, -9999.00,     0.00
    42, 41669,2019, 2,11,    23.50,     7.00, -9999.00, -9999.00,     0.00
    43, 41669,2019, 2,12,    19.50,     7.50, -9999.00, -9999.00,     0.00
    44, 41669,2019, 2,13,    22.00,    11.00, -9999.00, -9999.00,     0.00
    45, 41669,2019, 2,14,    23.50,    11.50, -9999.00, -9999.00,     1.00
    46, 41669,2019, 2,15,    23.00,     8.00, -9999.00, -9999.00,     0.00
    47, 41669,2019, 2,16,    25.50,     6.50, -9999.00, -9999.00,     0.00
    48, 41669,2019, 2,17,    22.50,     6.80, -9999.00, -9999.00,     0.80
    49, 41669,2019, 2,18,    16.50,    10.00, -9999.00, -9999.00,     0.00
    50, 41669,2019, 2,19,    17.00,     6.00, -9999.00, -9999.00,     0.00
    51, 41669,2019, 2,20,    13.00,     8.00, -9999.00, -9999.00,     0.00
    52, 41669,2019, 2,21,    22.00,     7.00, -9999.00, -9999.00,     5.00
    53, 41669,2019, 2,22,    23.00,     8.00, -9999.00, -9999.00,     0.00
    54, 41669,2019, 2,23,    26.00,     7.00, -9999.00, -9999.00,     0.00
    55, 41669,2019, 2,24,    25.50,     7.00, -9999.00, -9999.00,     0.00
    56, 41669,2019, 2,25,    25.00,     7.00, -9999.00, -9999.00,     0.00
    57, 41669,2019, 2,26,    23.50,     6.50, -9999.00, -9999.00,     0.00
    58, 41669,2019, 2,27,    22.00,     6.50, -9999.00, -9999.00,     0.00
    59, 41669,2019, 2,28,    22.00,     5.50, -9999.00, -9999.00,     0.00
    60, 41669,2019, 3, 1,    15.00,     8.00, -9999.00, -9999.00,     6.00
    61, 41669,2019, 3, 2,    12.00,     8.00, -9999.00, -9999.00,     7.00
    62, 41669,2019, 3, 3,    16.50,     8.00, -9999.00, -9999.00,    33.00
    63, 41669,2019, 3, 4,    23.50,     6.50, -9999.00, -9999.00,     0.00
    64, 41669,2019, 3, 5,    25.50,     7.00, -9999.00, -9999.00,     0.00
    65, 41669,2019, 3, 6,    25.00,     6.50, -9999.00, -9999.00,     0.00
    66, 41669,2019, 3, 7,    25.00,    11.00, -9999.00, -9999.00,     0.00
    67, 41669,2019, 3, 8,    20.00,    11.50, -9999.00, -9999.00,     2.00
    68, 41669,2019, 3, 9,    26.00,     8.50, -9999.00, -9999.00,     1.00
    69, 41669,2019, 3,10,    23.50,     7.50, -9999.00, -9999.00,     0.00
    70, 41669,2019, 3,11,    20.00,     7.50, -9999.00, -9999.00,    14.00
    71, 41669,2019, 3,12,    22.50,     7.50, -9999.00, -9999.00,     0.00
    72, 41669,2019, 3,13,    24.50,    13.00, -9999.00, -9999.00,     0.00
    73, 41669,2019, 3,14,    23.50,     7.50, -9999.00, -9999.00,     0.00
    74, 41669,2019, 3,15,    26.00,     9.00, -9999.00, -9999.00,     0.00
    75, 41669,2019, 3,16,    26.00,     9.00, -9999.00, -9999.00,     0.00
    76, 41669,2019, 3,17,    29.50,     9.50, -9999.00, -9999.00,     0.00
    77, 41669,2019, 3,18,    25.00,    12.00, -9999.00, -9999.00,     0.00
    78, 41669,2019, 3,19,    25.00,    13.00, -9999.00, -9999.00,     0.00
    79, 41669,2019, 3,20,    27.00,    12.00, -9999.00, -9999.00,     0.00
    80, 41669,2019, 3,21,    29.00,    13.50, -9999.00, -9999.00,     0.00
    81, 41669,2019, 3,22,    30.00,    13.50, -9999.00, -9999.00,     0.00
    82, 41669,2019, 3,23,    22.00,    14.00, -9999.00, -9999.00,     8.00
    83, 41669,2019, 3,24,    28.00,    14.00, -9999.00, -9999.00,     0.00
    84, 41669,2019, 3,25,    32.00,    15.00, -9999.00, -9999.00,     0.00
    85, 41669,2019, 3,26,    34.00,    15.00, -9999.00, -9999.00,     0.00
    86, 41669,2019, 3,27,    33.50,    16.50, -9999.00, -9999.00,     0.00
    87, 41669,2019, 3,28,    32.00,    17.00, -9999.00, -9999.00,     0.00
    88, 41669,2019, 3,29,    31.00,    17.50, -9999.00, -9999.00,     0.00
    89, 41669,2019, 3,30,    34.50,    17.00, -9999.00, -9999.00,     2.00
    90, 41669,2019, 3,31,    35.00,    15.50, -9999.00, -9999.00,     0.00
    91, 41669,2019, 4, 1,    38.00,    16.50, -9999.00, -9999.00,     0.00
    92, 41669,2019, 4, 2,    37.50,    17.00, -9999.00, -9999.00,     0.00
    93, 41669,2019, 4, 3,    38.00,    20.00, -9999.00, -9999.00,     0.00
    94, 41669,2019, 4, 4,    38.00,    20.50, -9999.00, -9999.00,     0.00
    95, 41669,2019, 4, 5,    39.00,    21.50, -9999.00, -9999.00,     0.00
    96, 41669,2019, 4, 6,    41.00,    23.00, -9999.00, -9999.00,     0.00
    97, 41669,2019, 4, 7,    39.00,    23.00, -9999.00, -9999.00,     0.00
    98, 41669,2019, 4, 8,    38.50,    20.00, -9999.00, -9999.00,     0.00
