RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41679,2019, 1, 2,    17.50,     4.30, -9999.00, -9999.00,     0.00
     3, 41679,2019, 1, 3,    19.50,     6.20, -9999.00, -9999.00,     0.00
     4, 41679,2019, 1, 4,    19.00,     7.00, -9999.00, -9999.00,     0.00
     5, 41679,2019, 1, 5,    10.50,     8.00, -9999.00, -9999.00,     0.00
     6, 41679,2019, 1, 6,    18.50,     6.50, -9999.00, -9999.00,     0.00
     7, 41679,2019, 1, 7,    10.50,     7.50, -9999.00, -9999.00,     0.00
     8, 41679,2019, 1, 8,    19.00,     5.80, -9999.00, -9999.00,     0.00
     9, 41679,2019, 1, 9,    21.00,     7.20, -9999.00, -9999.00,     0.00
    10, 41679,2019, 1,10,    22.00,     7.00, -9999.00, -9999.00,     0.00
    11, 41679,2019, 1,11,    21.00,    10.50, -9999.00, -9999.00,     0.00
    12, 41679,2019, 1,12,    19.00,     7.80, -9999.00, -9999.00,     0.00
    13, 41679,2019, 1,13,    20.40,     8.00, -9999.00, -9999.00,     2.00
    14, 41679,2019, 1,14,    19.00,     5.80, -9999.00, -9999.00,     0.00
    15, 41679,2019, 1,15,    19.00,     5.00, -9999.00, -9999.00,     0.00
    16, 41679,2019, 1,16,    18.00,     5.50, -9999.00, -9999.00,     0.00
    17, 41679,2019, 1,17,    20.20,     5.00, -9999.00, -9999.00,     0.00
    18, 41679,2019, 1,18,    20.50,     6.00, -9999.00, -9999.00,     0.00
    19, 41679,2019, 1,19,    20.20,     7.50, -9999.00, -9999.00,     0.00
    20, 41679,2019, 1,20,    20.50,     7.80, -9999.00, -9999.00,     0.00
    21, 41679,2019, 1,21,    16.50,    11.50, -9999.00, -9999.00,     1.00
    22, 41679,2019, 1,22,    17.00,    10.50, -9999.00, -9999.00,     6.40
    23, 41679,2019, 1,23,    19.00,     8.00, -9999.00, -9999.00,     0.00
    24, 41679,2019, 1,24,    18.00,     6.50, -9999.00, -9999.00,     0.00
    25, 41679,2019, 1,25,    18.00,     6.00, -9999.00, -9999.00,     0.00
    26, 41679,2019, 1,26,    18.80,     5.50, -9999.00, -9999.00,     0.00
    27, 41679,2019, 1,27,    19.40,     5.70, -9999.00, -9999.00,     0.00
    28, 41679,2019, 1,28,    20.20,     4.20, -9999.00, -9999.00,     0.00
    29, 41679,2019, 1,29,    20.00,     5.30, -9999.00, -9999.00,     0.00
    30, 41679,2019, 1,30,    18.50,     6.80, -9999.00, -9999.00,     0.00
    31, 41679,2019, 1,31,    12.70,     9.50, -9999.00, -9999.00,    12.00
    32, 41679,2019, 2, 1,    16.00,     8.00, -9999.00, -9999.00,     0.00
    33, 41679,2019, 2, 2,    20.00,     6.50, -9999.00, -9999.00,     0.00
    34, 41679,2019, 2, 3,    22.00,     6.80, -9999.00, -9999.00,     0.00
    35, 41679,2019, 2, 4,    23.20,     7.50, -9999.00, -9999.00,     0.00
    36, 41679,2019, 2, 5,    22.50,     7.80, -9999.00, -9999.00,     0.00
    37, 41679,2019, 2, 6,    20.80,     8.50, -9999.00, -9999.00,     1.00
    38, 41679,2019, 2, 7,    15.30,     9.50, -9999.00, -9999.00,     5.20
    39, 41679,2019, 2, 8,    18.50,     7.30, -9999.00, -9999.00,     5.00
    40, 41679,2019, 2, 9,    19.40,     6.50, -9999.00, -9999.00,     0.00
    41, 41679,2019, 2,10,    20.50,     7.00, -9999.00, -9999.00,     0.00
    42, 41679,2019, 2,11,    21.50,     8.20, -9999.00, -9999.00,     0.00
    43, 41679,2019, 2,12,    20.60,    10.00, -9999.00, -9999.00,     0.00
    44, 41679,2019, 2,13,    22.50,    11.50, -9999.00, -9999.00,     0.00
    45, 41679,2019, 2,14,    15.20,    12.00, -9999.00, -9999.00,    28.00
    46, 41679,2019, 2,15,    17.20,    11.00, -9999.00, -9999.00,    12.40
    47, 41679,2019, 2,16,    21.80,     9.00, -9999.00, -9999.00,     0.00
    48, 41679,2019, 2,17,    21.00,     9.80, -9999.00, -9999.00,     0.00
    49, 41679,2019, 2,18,    19.40,     9.00, -9999.00, -9999.00,     7.00
    50, 41679,2019, 2,19,    21.00,     9.00, -9999.00, -9999.00,     5.20
    51, 41679,2019, 2,20,    19.50,     9.20, -9999.00, -9999.00,     0.00
    52, 41679,2019, 2,21,    22.00,    11.50, -9999.00, -9999.00,    25.00
    53, 41679,2019, 2,22,    21.00,    10.00, -9999.00, -9999.00,     0.00
    54, 41679,2019, 2,23,    22.10,     9.00, -9999.00, -9999.00,     0.00
    55, 41679,2019, 2,24,    22.80,     8.00, -9999.00, -9999.00,     0.00
    56, 41679,2019, 2,25,    22.00,     9.20, -9999.00, -9999.00,     0.00
    57, 41679,2019, 2,26,    21.00,     9.00, -9999.00, -9999.00,    12.00
    58, 41679,2019, 2,27,    20.00,     8.00, -9999.00, -9999.00,     0.00
    59, 41679,2019, 2,28,    21.00,     8.20, -9999.00, -9999.00,     0.00
    60, 41679,2019, 3, 1,    20.00,     8.00, -9999.00, -9999.00,     0.00
    61, 41679,2019, 3, 2,    16.00,     9.30, -9999.00, -9999.00,     6.00
    62, 41679,2019, 3, 3,    19.30,    10.50, -9999.00, -9999.00,     3.40
    63, 41679,2019, 3, 4,    22.00,    11.00, -9999.00, -9999.00,     0.00
    64, 41679,2019, 3, 5,    24.00,    11.00, -9999.00, -9999.00,     0.00
    65, 41679,2019, 3, 6,    25.00,    11.20, -9999.00, -9999.00,     0.00
    66, 41679,2019, 3, 7,    26.00,    11.00, -9999.00, -9999.00,     0.00
    67, 41679,2019, 3, 8,    22.00,    11.50, -9999.00, -9999.00,     0.00
    68, 41679,2019, 3, 9,    25.50,    11.00, -9999.00, -9999.00,     0.60
    69, 41679,2019, 3,10,    26.00,    12.00, -9999.00, -9999.00,     0.00
    70, 41679,2019, 3,11,    23.20,    13.50, -9999.00, -9999.00,    12.00
    71, 41679,2019, 3,12,    25.00,    11.50, -9999.00, -9999.00,     4.00
    72, 41679,2019, 3,13,    24.50,    12.70, -9999.00, -9999.00,     0.00
    73, 41679,2019, 3,14,    22.30,    12.00, -9999.00, -9999.00,     0.00
    74, 41679,2019, 3,15,    24.50,    11.00, -9999.00, -9999.00,     0.00
    75, 41679,2019, 3,16,    27.00,    12.70, -9999.00, -9999.00,     0.00
    76, 41679,2019, 3,17,    28.00,    14.70, -9999.00, -9999.00,     0.00
    77, 41679,2019, 3,18,    27.60,    13.50, -9999.00, -9999.00,     0.00
    78, 41679,2019, 3,19,    29.50,    14.00, -9999.00, -9999.00,     0.00
    79, 41679,2019, 3,20,    28.00,    15.00, -9999.00, -9999.00,     0.00
    80, 41679,2019, 3,21,    28.60,    14.00, -9999.00, -9999.00,     0.00
    81, 41679,2019, 3,22,    29.50,    15.00, -9999.00, -9999.00,     0.00
    82, 41679,2019, 3,23,    28.60,    17.00, -9999.00, -9999.00,     0.00
    83, 41679,2019, 3,24,    23.20,    15.50, -9999.00, -9999.00,     0.00
    84, 41679,2019, 3,25,    29.00,    16.00, -9999.00, -9999.00,     0.00
    85, 41679,2019, 3,26,    31.00,    14.00, -9999.00, -9999.00,     0.00
    86, 41679,2019, 3,27,    32.00,    15.30, -9999.00, -9999.00,     0.00
    87, 41679,2019, 3,28,    32.50,    17.50, -9999.00, -9999.00,     0.00
    88, 41679,2019, 3,29,    32.50,    19.00, -9999.00, -9999.00,     0.00
    89, 41679,2019, 3,30,    33.50,    19.50, -9999.00, -9999.00,     0.00
    90, 41679,2019, 3,31,    32.50,    18.00, -9999.00, -9999.00,     0.00
    91, 41679,2019, 4, 1,    34.40,    18.00, -9999.00, -9999.00,     0.00
    92, 41679,2019, 4, 2,    35.40,    17.30, -9999.00, -9999.00,     0.00
    93, 41679,2019, 4, 3,    35.00,    18.00, -9999.00, -9999.00,     0.00
    94, 41679,2019, 4, 4,    36.00,    18.50, -9999.00, -9999.00,     0.00
    95, 41679,2019, 4, 5,    37.00,    19.70, -9999.00, -9999.00,     0.00
    96, 41679,2019, 4, 6,    37.00,    21.00, -9999.00, -9999.00,     0.00
    97, 41679,2019, 4, 7,    37.00,    19.00, -9999.00, -9999.00,     0.00
    98, 41679,2019, 4, 8,    33.20,    20.50, -9999.00, -9999.00,     0.00
    99, 41679,2019, 4, 9,    35.50,    20.80, -9999.00, -9999.00,     0.00
