RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41592,2019, 1, 4,    16.50,     8.00, -9999.00, -9999.00,     0.00
     3, 41592,2019, 1, 6, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     4, 41592,2019, 1, 6,     6.00,     5.50, -9999.00, -9999.00,     5.00
     5, 41592,2019, 1, 8, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     6, 41592,2019, 1, 8,    10.00,     6.00, -9999.00, -9999.00,     0.00
     7, 41592,2019, 1,10, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     8, 41592,2019, 1,10,    18.00,     6.50, -9999.00, -9999.00,     0.00
     9, 41592,2019, 1,11,    14.00,     8.90, -9999.00, -9999.00,     0.00
    10, 41592,2019, 1,12,    15.50,    10.00, -9999.00, -9999.00,     0.00
    11, 41592,2019, 1,13,    16.50,     6.00, -9999.00, -9999.00,     0.00
    12, 41592,2019, 1,14,    17.00,     3.50, -9999.00, -9999.00,     0.00
    13, 41592,2019, 1,15,    20.00,    10.50, -9999.00, -9999.00,     0.00
    14, 41592,2019, 1,16,    19.50,     6.50, -9999.00, -9999.00,     0.00
    15, 41592,2019, 1,17,    19.00,     5.50, -9999.00, -9999.00,     0.00
    16, 41592,2019, 1,18,    18.50,     5.40, -9999.00, -9999.00,     0.00
    17, 41592,2019, 1,19,    17.50,     6.40, -9999.00, -9999.00,     0.00
    18, 41592,2019, 1,20,    13.50,     8.00, -9999.00, -9999.00,     2.00
    19, 41592,2019, 1,21,    14.00,     6.00, -9999.00, -9999.00,     2.00
    20, 41592,2019, 1,22,    18.00,     5.50, -9999.00, -9999.00,     0.00
    21, 41592,2019, 1,23,    16.50,    14.00, -9999.00, -9999.00,     0.00
    22, 41592,2019, 1,24,    16.50,     5.00, -9999.00, -9999.00,     0.00
    23, 41592,2019, 1,25,    18.50,     4.00, -9999.00, -9999.00,     0.00
    24, 41592,2019, 1,27, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    25, 41592,2019, 1,27,    13.00,     2.00, -9999.00, -9999.00,     0.00
    26, 41592,2019, 1,28,    18.00,     2.00, -9999.00, -9999.00,     0.00
    27, 41592,2019, 1,29,    13.50,     3.00, -9999.00, -9999.00,     0.00
    28, 41592,2019, 1,30,    14.00,     4.90, -9999.00, -9999.00,     0.00
    29, 41592,2019, 2, 1, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    30, 41592,2019, 2, 1,    16.50,     6.00, -9999.00, -9999.00,     6.00
    31, 41592,2019, 2, 2,    18.50,     6.50, -9999.00, -9999.00,     0.00
    32, 41592,2019, 2, 3,    20.50,     7.50, -9999.00, -9999.00,     0.00
    33, 41592,2019, 2, 4,    19.50,     9.50, -9999.00, -9999.00,     0.00
    34, 41592,2019, 2, 5,    20.50,    10.00, -9999.00, -9999.00,     2.00
    35, 41592,2019, 2, 6,    18.00,     8.50, -9999.00, -9999.00,     2.00
    36, 41592,2019, 2, 7,    17.50,     6.00, -9999.00, -9999.00,     0.00
    37, 41592,2019, 2, 9, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    38, 41592,2019, 2, 9,    20.00,     6.00, -9999.00, -9999.00,     0.00
    39, 41592,2019, 2,10,    21.50,     7.00, -9999.00, -9999.00,     0.00
    40, 41592,2019, 2,11,     9.00,     9.00, -9999.00, -9999.00,     0.00
    41, 41592,2019, 2,12,    19.00,    10.00, -9999.00, -9999.00,     0.00
    42, 41592,2019, 2,13,    17.00,    15.00, -9999.00, -9999.00,     0.00
    43, 41592,2019, 2,16, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    44, 41592,2019, 2,16, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    45, 41592,2019, 2,16,    22.00,     1.30, -9999.00, -9999.00,     0.00
    46, 41592,2019, 2,17,    18.00,    10.00, -9999.00, -9999.00,     0.00
    47, 41592,2019, 2,19, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    48, 41592,2019, 2,19,    18.50,    12.00, -9999.00, -9999.00, -9999.00
    49, 41592,2019, 2,20,    12.50,    10.00, -9999.00, -9999.00,     9.00
    50, 41592,2019, 2,22, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    51, 41592,2019, 2,22,    20.00,     8.00, -9999.00, -9999.00,     0.00
