RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41564,2019, 1, 4,     8.30,     6.50, -9999.00, -9999.00,     0.00
     3, 41564,2019, 1, 6, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     4, 41564,2019, 1, 6,    16.10,     3.50, -9999.00, -9999.00,     0.00
     5, 41564,2019, 1, 8, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     6, 41564,2019, 1, 8,    17.20,    17.20, -9999.00, -9999.00,     0.00
     7, 41564,2019, 1, 9,    18.30,     4.50, -9999.00, -9999.00,     0.00
     8, 41564,2019, 1,10,    15.00,     5.50, -9999.00, -9999.00,     0.00
     9, 41564,2019, 1,11,    15.50,     4.50, -9999.00, -9999.00,     0.00
    10, 41564,2019, 1,12,    15.50,     5.50, -9999.00, -9999.00,     0.00
    11, 41564,2019, 1,13,    15.00,     1.50, -9999.00, -9999.00,     5.00
    12, 41564,2019, 1,14,    15.50,     2.50, -9999.00, -9999.00,     0.00
    13, 41564,2019, 1,15,    18.90,    18.90, -9999.00, -9999.00,     0.00
    14, 41564,2019, 1,16,    17.50,     5.30, -9999.00, -9999.00,     0.00
    15, 41564,2019, 1,17,    20.50,     5.50, -9999.00, -9999.00,     0.00
    16, 41564,2019, 1,18,    15.00,    13.30, -9999.00, -9999.00,     0.00
    17, 41564,2019, 1,19,    15.00,    15.00, -9999.00, -9999.00,     0.00
    18, 41564,2019, 1,20,    15.00,    10.00, -9999.00, -9999.00,     0.00
    19, 41564,2019, 1,21,    15.00,    11.10, -9999.00, -9999.00,     0.00
    20, 41564,2019, 1,22,    12.80,     7.00, -9999.00, -9999.00,     0.00
    21, 41564,2019, 1,23,    16.50,    12.20, -9999.00, -9999.00,     0.00
    22, 41564,2019, 1,24,    16.50,     5.50, -9999.00, -9999.00,     0.00
    23, 41564,2019, 1,25,    18.50,     3.50, -9999.00, -9999.00,     0.00
    24, 41564,2019, 1,26,    16.70,     4.50, -9999.00, -9999.00,     0.00
    25, 41564,2019, 1,27,    17.50,    15.00, -9999.00, -9999.00,     0.00
    26, 41564,2019, 1,28,    18.50,     5.50, -9999.00, -9999.00,     0.00
    27, 41564,2019, 1,29,    17.50,     3.50, -9999.00, -9999.00,     0.00
    28, 41564,2019, 1,31, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    29, 41564,2019, 1,31,    10.50,     7.50, -9999.00, -9999.00,     6.00
    30, 41564,2019, 2, 1,    14.50,    11.10, -9999.00, -9999.00,     0.00
    31, 41564,2019, 2, 2,    13.90,    13.90, -9999.00, -9999.00,     0.00
    32, 41564,2019, 2, 3,    17.00,    13.90, -9999.00, -9999.00,     0.00
    33, 41564,2019, 2, 4,    16.10,    16.10, -9999.00, -9999.00, -9999.00
    34, 41564,2019, 2, 5,    17.50,     8.50, -9999.00, -9999.00,     0.00
    35, 41564,2019, 2, 6,     9.40,     8.50, -9999.00, -9999.00,     2.00
    36, 41564,2019, 2, 7,    19.50,     5.00, -9999.00, -9999.00,     4.00
    37, 41564,2019, 2, 8,    15.50,    10.00, -9999.00, -9999.00,     0.00
    38, 41564,2019, 2, 9,    19.50,    17.20, -9999.00, -9999.00,     0.00
    39, 41564,2019, 2,10,    19.50,    13.90, -9999.00, -9999.00,     0.00
    40, 41564,2019, 2,11,    20.50, -9999.00, -9999.00, -9999.00,     0.00
    41, 41564,2019, 2,12,    16.10,    11.50, -9999.00, -9999.00,     0.00
    42, 41564,2019, 2,14, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    43, 41564,2019, 2,14,    10.00,     9.50, -9999.00, -9999.00,     3.00
    44, 41564,2019, 2,15,    18.50,     7.50, -9999.00, -9999.00,     1.00
    45, 41564,2019, 2,16,    20.00,    20.00, -9999.00, -9999.00,     0.00
    46, 41564,2019, 2,17,    15.00,    15.00, -9999.00, -9999.00,     0.00
    47, 41564,2019, 2,18,    13.30,     9.50, -9999.00, -9999.00, -9999.00
    48, 41564,2019, 2,20, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    49, 41564,2019, 2,20,    11.10,    11.10, -9999.00, -9999.00,     4.00
    50, 41564,2019, 2,21,    15.00,     8.50, -9999.00, -9999.00,    18.00
    51, 41564,2019, 2,22,    17.50,    12.80, -9999.00, -9999.00,     0.00
    52, 41564,2019, 2,23,     7.20,     5.50, -9999.00, -9999.00,     0.00
    53, 41564,2019, 2,24,    23.50,     6.50, -9999.00, -9999.00,     0.00
    54, 41564,2019, 2,25,    13.30,     9.90, -9999.00, -9999.00,     0.00
    55, 41564,2019, 2,26,    14.50,    12.20, -9999.00, -9999.00,    15.00
    56, 41564,2019, 2,27,     8.30,     6.50, -9999.00, -9999.00,    18.00
