RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41700,2019, 1, 2,    20.60,     7.20, -9999.00, -9999.00,     0.00
     3, 41700,2019, 1, 3,    17.40,     8.20, -9999.00, -9999.00,     0.00
     4, 41700,2019, 1, 4,    15.00,     8.30, -9999.00, -9999.00,     0.00
     5, 41700,2019, 1, 5,    17.50,     9.00, -9999.00, -9999.00,     0.00
     6, 41700,2019, 1, 6,    18.40,     7.20, -9999.00, -9999.00,     0.00
     7, 41700,2019, 1, 7,    10.50,     7.00, -9999.00, -9999.00,     0.00
     8, 41700,2019, 1, 8,    19.90,     2.80, -9999.00, -9999.00,     0.00
     9, 41700,2019, 1, 9,    22.10,     6.70, -9999.00, -9999.00,     0.00
    10, 41700,2019, 1,10,    22.70,     6.80, -9999.00, -9999.00,     0.00
    11, 41700,2019, 1,11,    21.30,    10.00, -9999.00, -9999.00,     0.00
    12, 41700,2019, 1,12,    16.40,     8.40, -9999.00, -9999.00,     0.00
    13, 41700,2019, 1,13,    19.70,     6.70, -9999.00, -9999.00,     0.00
    14, 41700,2019, 1,14,    19.30,     2.80, -9999.00, -9999.00,     0.00
    15, 41700,2019, 1,15,    20.00,     5.00, -9999.00, -9999.00,     0.00
    16, 41700,2019, 1,16,    21.30,     5.80, -9999.00, -9999.00,     0.00
    17, 41700,2019, 1,17,    20.00,     7.20, -9999.00, -9999.00,     0.00
    18, 41700,2019, 1,18,    20.20,     6.80, -9999.00, -9999.00,     0.00
    19, 41700,2019, 1,19,    20.30,     7.30, -9999.00, -9999.00,     0.00
    20, 41700,2019, 1,20,    20.00,     9.30, -9999.00, -9999.00,     0.00
    21, 41700,2019, 1,21,    16.70,     9.10, -9999.00, -9999.00,     8.00
    22, 41700,2019, 1,22,    16.90,     8.20, -9999.00, -9999.00,     0.00
    23, 41700,2019, 1,23,    14.20,     7.90, -9999.00, -9999.00,     0.00
    24, 41700,2019, 1,24,    12.90,     8.50, -9999.00, -9999.00,     0.00
    25, 41700,2019, 1,25,    16.60,     8.50, -9999.00, -9999.00,     0.00
    26, 41700,2019, 1,26,    18.90,     6.10, -9999.00, -9999.00,     0.00
    27, 41700,2019, 1,27,    20.10,     5.40, -9999.00, -9999.00,     0.00
