RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41633,2019, 1, 2,    22.00,     4.50, -9999.00, -9999.00,     0.00
     3, 41633,2019, 1, 3,    22.20,     4.00, -9999.00, -9999.00,     0.00
     4, 41633,2019, 1, 4,    20.50,     5.50, -9999.00, -9999.00,     0.00
     5, 41633,2019, 1, 5,    10.50,     8.50, -9999.00, -9999.00,     0.00
     6, 41633,2019, 1, 6,    20.50,     5.00, -9999.00, -9999.00,     0.00
     7, 41633,2019, 1, 7,    11.00,     5.00, -9999.00, -9999.00,     0.00
     8, 41633,2019, 1, 8,    20.50,     5.00, -9999.00, -9999.00,     0.00
     9, 41633,2019, 1, 9,    22.50,     5.00, -9999.00, -9999.00,     0.00
    10, 41633,2019, 1,10,    21.00,     4.50, -9999.00, -9999.00,     0.00
    11, 41633,2019, 1,11,    20.00,     9.50, -9999.00, -9999.00,     0.00
    12, 41633,2019, 1,12,    18.00,     7.00, -9999.00, -9999.00,     1.00
    13, 41633,2019, 1,13,    19.50,     3.50, -9999.00, -9999.00,     0.00
    14, 41633,2019, 1,14,    20.00,     3.00, -9999.00, -9999.00,     0.00
    15, 41633,2019, 1,15,    21.00,     3.00, -9999.00, -9999.00,     0.00
    16, 41633,2019, 1,16,    20.00,     4.50, -9999.00, -9999.00,     0.00
    17, 41633,2019, 1,17,    22.00,     3.50, -9999.00, -9999.00,     0.00
    18, 41633,2019, 1,18,    20.50,     3.50, -9999.00, -9999.00,     0.00
    19, 41633,2019, 1,19,    21.00,     5.50, -9999.00, -9999.00,     0.00
    20, 41633,2019, 1,20,    15.00,     6.50, -9999.00, -9999.00,     0.00
    21, 41633,2019, 1,21,    13.50,     8.00, -9999.00, -9999.00,     0.00
    22, 41633,2019, 1,22,    17.00,     6.50, -9999.00, -9999.00,     0.00
    23, 41633,2019, 1,23,    17.50,     6.50, -9999.00, -9999.00,     0.00
    24, 41633,2019, 1,24,    20.00,     3.50, -9999.00, -9999.00,     0.00
    25, 41633,2019, 1,25,    20.50,     3.70, -9999.00, -9999.00,     0.00
    26, 41633,2019, 1,26,    20.00,     2.60, -9999.00, -9999.00,     0.00
    27, 41633,2019, 1,27,    21.00,     4.00, -9999.00, -9999.00,     0.00
    28, 41633,2019, 1,28,    22.50,     2.00, -9999.00, -9999.00,     0.00
    29, 41633,2019, 1,29,    21.00,     2.00, -9999.00, -9999.00,     0.00
    30, 41633,2019, 1,30,    15.50,     9.00, -9999.00, -9999.00,     0.00
    31, 41633,2019, 1,31,    11.00,     8.50, -9999.00, -9999.00,    14.60
    32, 41633,2019, 2, 1,    17.50,     6.50, -9999.00, -9999.00,     6.40
    33, 41633,2019, 2, 2,    20.50,     6.00, -9999.00, -9999.00,     0.00
    34, 41633,2019, 2, 3,    24.00,     6.50, -9999.00, -9999.00,     0.00
    35, 41633,2019, 2, 4,    23.50,     7.50, -9999.00, -9999.00,     0.00
    36, 41633,2019, 2, 5,    24.00,     8.50, -9999.00, -9999.00,     0.00
    37, 41633,2019, 2, 6,    21.00,     9.50, -9999.00, -9999.00,     3.00
    38, 41633,2019, 2, 7,    20.00,     7.50, -9999.00, -9999.00,     0.00
    39, 41633,2019, 2, 8,    14.50,     8.00, -9999.00, -9999.00,     2.00
    40, 41633,2019, 2, 9,    22.00,     4.50, -9999.00, -9999.00,     0.00
    41, 41633,2019, 2,10,    23.50,     6.00, -9999.00, -9999.00,     0.00
    42, 41633,2019, 2,11,    23.00,     6.50, -9999.00, -9999.00,     0.00
    43, 41633,2019, 2,12,    19.50,     9.50, -9999.00, -9999.00,     0.00
    44, 41633,2019, 2,13,    23.00,    10.00, -9999.00, -9999.00,     0.00
    45, 41633,2019, 2,14,    23.00,    11.00, -9999.00, -9999.00,     0.00
    46, 41633,2019, 2,15,    23.50,     8.50, -9999.00, -9999.00,     0.00
    47, 41633,2019, 2,16,    25.50,     7.00, -9999.00, -9999.00,     0.00
    48, 41633,2019, 2,17,    23.00,     9.00, -9999.00, -9999.00,     0.00
    49, 41633,2019, 2,18,    18.00,     9.50, -9999.00, -9999.00,     0.00
    50, 41633,2019, 2,19,    17.50,     6.00, -9999.00, -9999.00,     0.00
    51, 41633,2019, 2,20,    14.50,     8.50, -9999.00, -9999.00,     0.00
    52, 41633,2019, 2,21,    22.00,     9.00, -9999.00, -9999.00,     5.00
    53, 41633,2019, 2,22,    24.00,     7.00, -9999.00, -9999.00,     0.00
    54, 41633,2019, 2,23,    26.00,     8.00, -9999.00, -9999.00,     0.00
    55, 41633,2019, 2,24,    25.50,     6.50, -9999.00, -9999.00,     0.00
    56, 41633,2019, 2,25,    20.00,     7.50, -9999.00, -9999.00,     0.00
    57, 41633,2019, 2,26,    21.00,     4.50, -9999.00, -9999.00,     0.00
    58, 41633,2019, 2,27,    22.00,     6.00, -9999.00, -9999.00,     0.00
    59, 41633,2019, 2,28,    23.00,     5.60, -9999.00, -9999.00,     0.00
    60, 41633,2019, 3, 1,    15.50,     8.50, -9999.00, -9999.00,     1.00
    61, 41633,2019, 3, 2,    13.00,     8.70, -9999.00, -9999.00,    24.00
    62, 41633,2019, 3, 3,    14.20,     9.00, -9999.00, -9999.00,    16.80
    63, 41633,2019, 3, 4,    24.00,     7.50, -9999.00, -9999.00,     0.00
    64, 41633,2019, 3, 5,    24.00,     7.50, -9999.00, -9999.00,     0.00
    65, 41633,2019, 3, 6,    26.50,     8.00, -9999.00, -9999.00,     0.00
    66, 41633,2019, 3, 7,    25.50,     8.50, -9999.00, -9999.00,     0.00
    67, 41633,2019, 3, 8,    18.00,    10.50, -9999.00, -9999.00,     0.00
    68, 41633,2019, 3, 9,    27.50,     8.50, -9999.00, -9999.00,     0.00
    69, 41633,2019, 3,10,    27.00,     9.50, -9999.00, -9999.00,     0.00
    70, 41633,2019, 3,11,    21.00,    11.00, -9999.00, -9999.00,     5.00
    71, 41633,2019, 3,12,    24.50,    11.00, -9999.00, -9999.00,     0.00
    72, 41633,2019, 3,13,    26.00,    11.50, -9999.00, -9999.00,     0.00
    73, 41633,2019, 3,14,    26.00,    11.70, -9999.00, -9999.00,     1.00
    74, 41633,2019, 3,15,    27.50,    10.00, -9999.00, -9999.00,     0.00
    75, 41633,2019, 3,16,    30.00,    11.70, -9999.00, -9999.00,     0.00
    76, 41633,2019, 3,17,    32.00,    13.00, -9999.00, -9999.00,     0.00
    77, 41633,2019, 3,18,    28.00,    12.50, -9999.00, -9999.00,     0.00
    78, 41633,2019, 3,19,    29.00,    14.00, -9999.00, -9999.00,    15.00
    79, 41633,2019, 3,20,    27.00,    13.00, -9999.00, -9999.00,    15.00
    80, 41633,2019, 3,21,    30.00,    11.50, -9999.00, -9999.00,     0.00
    81, 41633,2019, 3,22,    31.50,    13.50, -9999.00, -9999.00,     0.00
    82, 41633,2019, 3,23,    22.00,    14.50, -9999.00, -9999.00,     2.00
    83, 41633,2019, 3,24,    29.00,    13.00, -9999.00, -9999.00,     1.00
    84, 41633,2019, 3,25,    33.00,    14.00, -9999.00, -9999.00,     0.00
    85, 41633,2019, 3,26,    33.50,    13.50, -9999.00, -9999.00,     0.00
    86, 41633,2019, 3,27,    34.00,    17.00, -9999.00, -9999.00,     0.00
    87, 41633,2019, 3,28,    34.00,    19.00, -9999.00, -9999.00,     0.00
    88, 41633,2019, 3,29,    33.00,    18.50, -9999.00, -9999.00,     0.00
    89, 41633,2019, 3,30,    35.70,    20.00, -9999.00, -9999.00,     0.00
    90, 41633,2019, 3,31,    36.00,    15.00, -9999.00, -9999.00,     0.00
    91, 41633,2019, 4, 1,    38.00,    15.00, -9999.00, -9999.00,     0.00
    92, 41633,2019, 4, 2,    38.50,    20.50, -9999.00, -9999.00,     0.00
    93, 41633,2019, 4, 3,    38.50,    18.50, -9999.00, -9999.00,     0.00
    94, 41633,2019, 4, 4,    39.50,    18.50, -9999.00, -9999.00,     0.00
    95, 41633,2019, 4, 5,    40.50,    20.50, -9999.00, -9999.00,     0.00
    96, 41633,2019, 4, 6,    41.50,    21.00, -9999.00, -9999.00,     0.00
    97, 41633,2019, 4, 7,    39.50,    21.00, -9999.00, -9999.00,     0.00
    98, 41633,2019, 4, 8,    35.00,    18.00, -9999.00, -9999.00,    16.20
    99, 41633,2019, 4, 9,    37.50,    20.00, -9999.00, -9999.00,     0.00
   100, 41633,2019, 4,10,    35.00,    17.50, -9999.00, -9999.00,     3.00
   101, 41633,2019, 4,11,    37.00,    20.50, -9999.00, -9999.00,     0.00
   102, 41633,2019, 4,12,    32.00,    19.00, -9999.00, -9999.00,     0.00
   103, 41633,2019, 4,13,    32.00,    20.50, -9999.00, -9999.00,     5.00
   104, 41633,2019, 4,14,    35.00,    20.00, -9999.00, -9999.00,     0.00
   105, 41633,2019, 4,15,    33.00,    17.50, -9999.00, -9999.00,     0.00
   106, 41633,2019, 4,16,    29.00,    15.50, -9999.00, -9999.00,    65.00
   107, 41633,2019, 4,17,    19.50,    14.00, -9999.00, -9999.00,    37.00
   108, 41633,2019, 4,18,    28.50,    15.00, -9999.00, -9999.00,     8.00
   109, 41633,2019, 4,19,    34.50,    16.00, -9999.00, -9999.00,     0.00
   110, 41633,2019, 4,20,    36.00,    17.00, -9999.00, -9999.00,     0.00
   111, 41633,2019, 4,21,    38.50,    19.50, -9999.00, -9999.00,     0.00
   112, 41633,2019, 4,22,    40.50,    20.50, -9999.00, -9999.00,     0.00
   113, 41633,2019, 4,23,    41.00,    22.50, -9999.00, -9999.00,     0.00
   114, 41633,2019, 4,24,    31.50,    21.00, -9999.00, -9999.00,     0.00
   115, 41633,2019, 4,25,    37.00,    18.50, -9999.00, -9999.00,     3.00
   116, 41633,2019, 4,26,    39.00,    19.00, -9999.00, -9999.00,     0.00
   117, 41633,2019, 4,27,    40.00,    20.50, -9999.00, -9999.00,     0.00
   118, 41633,2019, 4,28,    41.50,    22.00, -9999.00, -9999.00,     0.00
   119, 41633,2019, 4,29,    41.50,    22.00, -9999.00, -9999.00,     0.00
   120, 41633,2019, 4,30,    37.50,    22.50, -9999.00, -9999.00,     7.00
   121, 41633,2019, 5, 1,    32.00,    21.00, -9999.00, -9999.00,     0.00
   122, 41633,2019, 5, 2,    37.50,    21.20, -9999.00, -9999.00,     0.00
   123, 41633,2019, 5, 3,    38.50,    22.50, -9999.00, -9999.00,     0.00
   124, 41633,2019, 5, 4,    41.00,    21.00, -9999.00, -9999.00,     0.00
   125, 41633,2019, 5, 5,    42.50,    21.50, -9999.00, -9999.00,     0.00
   126, 41633,2019, 5, 6,    43.00,    20.00, -9999.00, -9999.00,     0.00
