RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41746,2019, 1, 2,    23.50,    12.00, -9999.00, -9999.00,     0.00
     3, 41746,2019, 1, 3,    25.00,     9.00, -9999.00, -9999.00,     0.00
     4, 41746,2019, 1, 4,    19.50,    10.00, -9999.00, -9999.00,     0.00
     5, 41746,2019, 1, 5,    20.00,     9.50, -9999.00, -9999.00,     0.00
     6, 41746,2019, 1, 6,    23.00,     8.00, -9999.00, -9999.00,     0.00
     7, 41746,2019, 1, 7,    12.50,    10.50, -9999.00, -9999.00,     0.00
     8, 41746,2019, 1, 8,    23.00,     8.00, -9999.00, -9999.00,     0.00
     9, 41746,2019, 1, 9,    24.50,     8.00, -9999.00, -9999.00,     0.00
    10, 41746,2019, 1,10,    24.00,     9.00, -9999.00, -9999.00,     0.00
    11, 41746,2019, 1,11,    22.00,    10.00, -9999.00, -9999.00,     0.00
    12, 41746,2019, 1,12,    21.50,    10.00, -9999.00, -9999.00,     0.00
    13, 41746,2019, 1,13,    22.00,     8.50, -9999.00, -9999.00,     0.00
    14, 41746,2019, 1,14,    23.00,     6.50, -9999.00, -9999.00,     0.00
    15, 41746,2019, 1,15,    24.00,     6.50, -9999.00, -9999.00,     0.00
    16, 41746,2019, 1,16,    25.00,     7.00, -9999.00, -9999.00,     0.00
    17, 41746,2019, 1,17,    22.50,     7.00, -9999.00, -9999.00,     0.00
    18, 41746,2019, 1,18,    23.00,     7.00, -9999.00, -9999.00,     0.00
    19, 41746,2019, 1,19,    21.00,     8.50, -9999.00, -9999.00,     0.00
    20, 41746,2019, 1,20,    21.00,     7.50, -9999.00, -9999.00,     0.00
    21, 41746,2019, 1,21,    20.00,     9.00, -9999.00, -9999.00,    17.00
    22, 41746,2019, 1,22,    21.50,     7.50, -9999.00, -9999.00,     0.00
    23, 41746,2019, 1,23,    20.50,     6.00, -9999.00, -9999.00,     0.00
    24, 41746,2019, 1,24,    18.00,     5.00, -9999.00, -9999.00,     0.00
    25, 41746,2019, 1,25,    20.00,     3.00, -9999.00, -9999.00,     0.00
    26, 41746,2019, 1,26,    20.50,     2.50, -9999.00, -9999.00,     0.00
    27, 41746,2019, 1,27,    21.50,     8.50, -9999.00, -9999.00,     0.00
    28, 41746,2019, 1,28,    25.00,     6.00, -9999.00, -9999.00,     0.00
    29, 41746,2019, 1,29,    24.00,     6.00, -9999.00, -9999.00,     0.00
    30, 41746,2019, 1,30,    25.50,     7.00, -9999.00, -9999.00,     0.00
    31, 41746,2019, 1,31,    19.00,     7.50, -9999.00, -9999.00,     3.00
    32, 41746,2019, 2, 1,    19.00,     6.50, -9999.00, -9999.00,     0.00
    33, 41746,2019, 2, 2,    22.00,     7.00, -9999.00, -9999.00,     0.00
    34, 41746,2019, 2, 3,    23.00,     8.00, -9999.00, -9999.00,     0.00
    35, 41746,2019, 2, 4,    24.00,     7.00, -9999.00, -9999.00,     0.00
    36, 41746,2019, 2, 5,    25.00,     8.00, -9999.00, -9999.00,     0.00
    37, 41746,2019, 2, 6,    23.00,     9.00, -9999.00, -9999.00,     0.00
    38, 41746,2019, 2, 7,    20.50,     8.00, -9999.00, -9999.00,     0.00
    39, 41746,2019, 2, 8,    20.50,     4.00, -9999.00, -9999.00,     0.00
    40, 41746,2019, 2, 9,    23.00,     5.50, -9999.00, -9999.00,     0.00
    41, 41746,2019, 2,10,    25.00,     4.00, -9999.00, -9999.00,     0.00
    42, 41746,2019, 2,11,    22.00,     8.00, -9999.00, -9999.00,     0.00
    43, 41746,2019, 2,12,    22.00,    11.00, -9999.00, -9999.00,     0.00
    44, 41746,2019, 2,13,    21.50,     8.00, -9999.00, -9999.00,     0.00
    45, 41746,2019, 2,14,    25.50,     8.00, -9999.00, -9999.00,     0.00
