RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41630,2019, 1, 2,    18.50,     5.80, -9999.00, -9999.00,     0.00
     3, 41630,2019, 1, 3,    21.00,     4.00, -9999.00, -9999.00,     0.00
     4, 41630,2019, 1, 4,    20.50,     4.30, -9999.00, -9999.00,     0.00
     5, 41630,2019, 1, 5,    16.50,     8.50, -9999.00, -9999.00,     0.00
     6, 41630,2019, 1, 6,    18.20,     5.50, -9999.00, -9999.00,     0.00
     7, 41630,2019, 1, 7,    11.50,     5.50, -9999.00, -9999.00,     0.00
     8, 41630,2019, 1, 8,    19.20,     5.30, -9999.00, -9999.00,     0.00
     9, 41630,2019, 1, 9,    21.70,     5.00, -9999.00, -9999.00,     0.00
    10, 41630,2019, 1,10,    22.00,     5.00, -9999.00, -9999.00,     0.00
    11, 41630,2019, 1,11,    19.50,     5.80, -9999.00, -9999.00,     1.00
    12, 41630,2019, 1,12,    16.30,     9.20, -9999.00, -9999.00,     0.00
    13, 41630,2019, 1,13,    19.50,     4.80, -9999.00, -9999.00,     0.00
    14, 41630,2019, 1,14,    18.20,     3.00, -9999.00, -9999.00,     0.00
    15, 41630,2019, 1,15,    19.50,     3.30, -9999.00, -9999.00,     0.00
    16, 41630,2019, 1,16,    17.50,     4.00, -9999.00, -9999.00,     0.00
    17, 41630,2019, 1,17,    20.00,     0.50, -9999.00, -9999.00,     0.00
    18, 41630,2019, 1,18,    21.30,     1.00, -9999.00, -9999.00,     0.00
    19, 41630,2019, 1,19,    21.30,     6.00, -9999.00, -9999.00,     0.00
    20, 41630,2019, 1,20,    17.80,     7.30, -9999.00, -9999.00,     0.00
    21, 41630,2019, 1,21,    13.20,    10.00, -9999.00, -9999.00,     2.20
    22, 41630,2019, 1,22,    16.30,    10.80, -9999.00, -9999.00,     0.00
    23, 41630,2019, 1,23,    16.00,     8.00, -9999.00, -9999.00,     0.00
    24, 41630,2019, 1,24,    17.30,     6.00, -9999.00, -9999.00,     0.00
    25, 41630,2019, 1,25,    18.50,     4.00, -9999.00, -9999.00,     0.00
