RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41562,2019, 1, 3,    19.00,     2.80, -9999.00, -9999.00,     0.00
     3, 41562,2019, 1, 4,    16.60,     7.50, -9999.00, -9999.00,     0.00
     4, 41562,2019, 1, 6, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     5, 41562,2019, 1, 6,    17.40,     5.40, -9999.00, -9999.00,     0.00
     6, 41562,2019, 1, 8, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     7, 41562,2019, 1, 8,    20.00,     2.50, -9999.00, -9999.00,     0.00
     8, 41562,2019, 1, 9,    19.00,     2.20, -9999.00, -9999.00,     0.00
     9, 41562,2019, 1,10,    17.00,     2.00, -9999.00, -9999.00,     0.00
    10, 41562,2019, 1,11,    16.00,     6.00, -9999.00, -9999.00,     0.00
    11, 41562,2019, 1,12,    17.00,     6.00, -9999.00, -9999.00,     0.00
    12, 41562,2019, 1,13,    16.50,     2.00, -9999.00, -9999.00,     0.00
    13, 41562,2019, 1,14,    19.00,     1.50, -9999.00, -9999.00,     0.00
    14, 41562,2019, 1,15,    20.20,     2.20, -9999.00, -9999.00,     0.00
    15, 41562,2019, 1,16,    20.40,     3.00, -9999.00, -9999.00,     0.00
    16, 41562,2019, 1,17,    21.00,     3.40, -9999.00, -9999.00,     0.00
    17, 41562,2019, 1,18,    19.00,     3.50, -9999.00, -9999.00,     0.00
    18, 41562,2019, 1,19,    21.00,     9.40, -9999.00, -9999.00,     0.00
    19, 41562,2019, 1,20,    15.20,     7.00, -9999.00, -9999.00,     0.00
    20, 41562,2019, 1,21,    18.60,     5.50, -9999.00, -9999.00,     0.00
    21, 41562,2019, 1,22,    16.00,     2.30, -9999.00, -9999.00,     0.00
    22, 41562,2019, 1,23,    16.30,    12.00, -9999.00, -9999.00,     0.00
    23, 41562,2019, 1,24,    17.00,     2.60, -9999.00, -9999.00,     0.00
    24, 41562,2019, 1,25,    17.50,     1.00, -9999.00, -9999.00,     0.00
    25, 41562,2019, 1,26,    18.00,     0.00, -9999.00, -9999.00,     0.00
    26, 41562,2019, 1,27,    17.60,     0.00, -9999.00, -9999.00,     0.00
    27, 41562,2019, 1,28,    19.00,     1.00, -9999.00, -9999.00,     0.00
    28, 41562,2019, 1,29,    18.00,     1.50, -9999.00, -9999.00,     0.00
    29, 41562,2019, 1,30,    12.00,     8.40, -9999.00, -9999.00,     0.00
    30, 41562,2019, 1,31,    10.30,     8.40, -9999.00, -9999.00,    15.50
    31, 41562,2019, 2, 1,    17.00,     3.60, -9999.00, -9999.00,     2.00
    32, 41562,2019, 2, 2,    20.00,     3.00, -9999.00, -9999.00,     0.00
    33, 41562,2019, 2, 3,    21.40,     5.00, -9999.00, -9999.00,     0.00
    34, 41562,2019, 2, 4,    18.40,     5.00, -9999.00, -9999.00,     0.00
    35, 41562,2019, 2, 5,    21.00,     6.00, -9999.00, -9999.00,     0.00
    36, 41562,2019, 2, 6,    18.40,     5.00, -9999.00, -9999.00,     0.00
    37, 41562,2019, 2, 7,    19.00,     4.50, -9999.00, -9999.00,     0.00
    38, 41562,2019, 2, 8,    16.00,     5.00, -9999.00, -9999.00,     0.00
    39, 41562,2019, 2, 9,    19.40,     3.50, -9999.00, -9999.00,     0.00
    40, 41562,2019, 2,10,    21.50,     5.00, -9999.00, -9999.00,     0.00
    41, 41562,2019, 2,11,    22.40,     5.50, -9999.00, -9999.00,     0.00
    42, 41562,2019, 2,12,    21.00,     7.00, -9999.00, -9999.00,     0.00
    43, 41562,2019, 2,13,    19.20,    10.00, -9999.00, -9999.00,     0.00
    44, 41562,2019, 2,14,    19.00,     8.40, -9999.00, -9999.00,     2.20
    45, 41562,2019, 2,15,    20.60,     4.40, -9999.00, -9999.00,     0.00
    46, 41562,2019, 2,16,    21.50,     4.00, -9999.00, -9999.00,     0.00
    47, 41562,2019, 2,17,    19.00,    15.00, -9999.00, -9999.00,     0.00
    48, 41562,2019, 2,18,    15.50,    14.00, -9999.00, -9999.00,     0.00
    49, 41562,2019, 2,19,    16.50,     7.80, -9999.00, -9999.00,     2.00
    50, 41562,2019, 2,20,    11.00,     8.00, -9999.00, -9999.00,    12.00
    51, 41562,2019, 2,21,    17.00,     2.50, -9999.00, -9999.00,    16.40
    52, 41562,2019, 2,22,    20.00,     4.00, -9999.00, -9999.00,     0.00
    53, 41562,2019, 2,23,    22.00,     5.00, -9999.00, -9999.00,     0.00
