RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41676,2019, 1, 2,    22.00,     7.80, -9999.00, -9999.00,     0.00
     3, 41676,2019, 1, 3,    21.40,     7.30, -9999.00, -9999.00,     0.00
     4, 41676,2019, 1, 4,    19.00,     7.30, -9999.00, -9999.00,     0.00
     5, 41676,2019, 1, 5,    12.00,     8.50, -9999.00, -9999.00,     0.00
     6, 41676,2019, 1, 6,    20.00,     9.00, -9999.00, -9999.00,     0.00
     7, 41676,2019, 1, 7,    11.50,     8.00, -9999.00, -9999.00,     0.00
     8, 41676,2019, 1, 8,    21.00,     5.70, -9999.00, -9999.00,     0.00
     9, 41676,2019, 1, 9,    23.20,     6.20, -9999.00, -9999.00,     0.00
    10, 41676,2019, 1,10,    21.20,     6.40, -9999.00, -9999.00,     0.00
    11, 41676,2019, 1,11,    20.50,    10.50, -9999.00, -9999.00,     0.00
    12, 41676,2019, 1,12,    19.00,     8.50, -9999.00, -9999.00,     0.00
    13, 41676,2019, 1,13,    19.00,     6.00, -9999.00, -9999.00,     0.00
    14, 41676,2019, 1,14,    20.00,     6.00, -9999.00, -9999.00,     0.00
    15, 41676,2019, 1,15,    20.20,     6.00, -9999.00, -9999.00,     0.00
    16, 41676,2019, 1,16,    20.20,     6.80, -9999.00, -9999.00,     0.00
    17, 41676,2019, 1,17,    22.00,     5.80, -9999.00, -9999.00,     0.00
    18, 41676,2019, 1,18,    20.20,     5.80, -9999.00, -9999.00,     0.00
    19, 41676,2019, 1,19,    23.00,     7.30, -9999.00, -9999.00,     0.00
    20, 41676,2019, 1,20,    19.00,    11.00, -9999.00, -9999.00,     0.00
    21, 41676,2019, 1,21,    18.50,     7.50, -9999.00, -9999.00,     0.90
    22, 41676,2019, 1,22,    15.50,     4.50, -9999.00, -9999.00,     0.00
    23, 41676,2019, 1,23,    17.30,     6.80, -9999.00, -9999.00,     0.00
    24, 41676,2019, 1,24,    18.30,     6.30, -9999.00, -9999.00,     0.00
    25, 41676,2019, 1,25,    21.00,     5.20, -9999.00, -9999.00,     0.00
    26, 41676,2019, 1,26,    19.30,     5.00, -9999.00, -9999.00,     0.00
    27, 41676,2019, 1,27,    21.00,     4.20, -9999.00, -9999.00,     0.00
    28, 41676,2019, 1,28,    22.00,     6.30, -9999.00, -9999.00,     0.00
    29, 41676,2019, 1,29,    22.00,     6.80, -9999.00, -9999.00,     0.00
    30, 41676,2019, 1,30,    13.00,     7.80, -9999.00, -9999.00,    13.00
    31, 41676,2019, 1,31,    14.20,     8.80, -9999.00, -9999.00,    11.40
    32, 41676,2019, 2, 1,    19.00,     6.80, -9999.00, -9999.00,     0.20
    33, 41676,2019, 2, 2,    21.20,     7.30, -9999.00, -9999.00,     0.00
    34, 41676,2019, 2, 3,    23.00,     7.20, -9999.00, -9999.00,     0.00
    35, 41676,2019, 2, 4,    23.00,     7.20, -9999.00, -9999.00,     0.00
    36, 41676,2019, 2, 5,    24.00,     8.20, -9999.00, -9999.00,     0.00
    37, 41676,2019, 2, 6,    21.30,     8.80, -9999.00, -9999.00,     0.00
    38, 41676,2019, 2, 7,    21.00,     8.80, -9999.00, -9999.00,     0.00
    39, 41676,2019, 2, 8,    19.30,     5.80, -9999.00, -9999.00,     0.00
    40, 41676,2019, 2, 9,    23.30,     6.00, -9999.00, -9999.00,     0.00
    41, 41676,2019, 2,10,    21.50,     6.70, -9999.00, -9999.00,     0.00
    42, 41676,2019, 2,11,    22.40,     8.80, -9999.00, -9999.00,     0.00
    43, 41676,2019, 2,12,    23.00,    10.30, -9999.00, -9999.00,     0.00
    44, 41676,2019, 2,13,    22.50,    12.50, -9999.00, -9999.00,     0.00
    45, 41676,2019, 2,14,    23.00,    11.80, -9999.00, -9999.00,     2.00
    46, 41676,2019, 2,15,    22.00,    10.00, -9999.00, -9999.00,     0.00
    47, 41676,2019, 2,16,    24.00,     7.00, -9999.00, -9999.00,     0.00
    48, 41676,2019, 2,17,    24.20,     7.80, -9999.00, -9999.00,     0.00
    49, 41676,2019, 2,18,    18.20,    10.80, -9999.00, -9999.00,     0.00
    50, 41676,2019, 2,19,    19.00,     7.80, -9999.00, -9999.00,     0.00
    51, 41676,2019, 2,20,    12.30,     8.20, -9999.00, -9999.00,    31.00
    52, 41676,2019, 2,21,    21.30,     9.30, -9999.00, -9999.00,    17.20
    53, 41676,2019, 2,22,    22.00,     9.30, -9999.00, -9999.00,     0.00
    54, 41676,2019, 2,23,    24.30,     8.30, -9999.00, -9999.00,     0.00
    55, 41676,2019, 2,24,    24.40,     9.30, -9999.00, -9999.00,     0.00
    56, 41676,2019, 2,25,    24.00,     9.70, -9999.00, -9999.00,     0.00
    57, 41676,2019, 2,26,    22.00,     7.70, -9999.00, -9999.00,     0.00
    58, 41676,2019, 2,27,    22.00,     8.30, -9999.00, -9999.00,     0.00
    59, 41676,2019, 2,28,    22.50,     8.70, -9999.00, -9999.00,     0.00
    60, 41676,2019, 3, 1,    16.50,     8.50, -9999.00, -9999.00,     0.00
    61, 41676,2019, 3, 2,    12.50,    10.50, -9999.00, -9999.00,    16.90
    62, 41676,2019, 3, 3,    15.50,     8.50, -9999.00, -9999.00,    11.10
    63, 41676,2019, 3, 4,    22.20,     7.50, -9999.00, -9999.00,     0.00
    64, 41676,2019, 3, 5,    26.00,    10.30, -9999.00, -9999.00,     0.00
    65, 41676,2019, 3, 6,    27.00,    11.20, -9999.00, -9999.00,     0.00
    66, 41676,2019, 3, 7,    26.00,    12.20, -9999.00, -9999.00,     0.00
    67, 41676,2019, 3, 8,    20.40,    13.80, -9999.00, -9999.00,     4.20
