RECDNO,STATNO,YYYY,MM,DD,HH,TEMPERATR,WET TEMP ,DEWPOINT ,RELHUMIDY,SEALVLPRS,SURFPRESS,WINDSPEED,DIRECTION, RAIN 1  , RAIN 2   ,RPeriodi 1,RPeriod 2,TLTCLOUD ,LOW CLOUD,VISIBLITY
     2, 41780,2019, 1, 1, 0,    15.50, -9999.00,     3.50,    44.59,  1020.50, -9999.00,     2.10,    50.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  4000.00
     0, 41780,   0, 0, 0, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
     4, 41780,2019, 1, 1, 9, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     5, 41780,2019, 1, 1,12, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     6, 41780,2019, 1, 1,15, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     7, 41780,2019, 1, 1,18, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     8, 41780,2019, 1, 1,21, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     9, 41780,2019, 1, 2, 0, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    10, 41780,2019, 1, 2, 0,    16.50, -9999.00,    13.90,    84.60,  1017.90, -9999.00,     0.00,     0.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  4000.00
    11, 41780,2019, 1, 2, 6, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    12, 41780,2019, 1, 2, 6,    23.50, -9999.00,    15.20,    59.64,  1020.90, -9999.00,     0.00,     0.00,     0.00,     0.00,     6.00,     3.00,     0.00, -9999.00,  2000.00
    13, 41780,2019, 1, 2, 9,    28.00, -9999.00,     9.20,    30.77,  1019.30, -9999.00,     2.10,    50.00, -9999.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  4000.00
    14, 41780,2019, 1, 2,12,    28.50, -9999.00,    12.40,    36.98,  1018.30, -9999.00,     2.10,   300.00,     0.00,     0.00,    12.00,     3.00,    25.00, -9999.00,  4000.00
    15, 41780,2019, 1, 2,15,    23.00, -9999.00,    13.60,    55.42,  1020.00, -9999.00,     0.00,     0.00, -9999.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  4000.00
    16, 41780,2019, 1, 2,18,    20.00, -9999.00,     8.60,    47.78,  1020.10, -9999.00,     1.00,    50.00,     0.00,     0.00,    18.00,     3.00,     0.00, -9999.00,  4000.00
    17, 41780,2019, 1, 2,21,    19.00, -9999.00,     7.20,    46.22,  1020.00, -9999.00,     2.10,   360.00, -9999.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  4000.00
    18, 41780,2019, 1, 3, 0,    16.00, -9999.00,     8.80,    62.29,  1020.40, -9999.00,     0.00,     0.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  4000.00
    19, 41780,2019, 1, 3, 3,    15.00, -9999.00,     9.20,    68.23,  1021.70, -9999.00,     0.00,     0.00, -9999.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  4000.00
    20, 41780,2019, 1, 3, 6,    24.00, -9999.00,     6.80,    33.11,  1024.20, -9999.00,     1.00,   360.00,     0.00,     0.00,     6.00,     3.00,    38.00, -9999.00,  4000.00
    21, 41780,2019, 1, 3, 9,    29.50, -9999.00,     9.00,    27.83,  1020.40, -9999.00,     0.00,     0.00, -9999.00,     0.00, -9999.00,     3.00,    38.00, -9999.00,  4000.00
    22, 41780,2019, 1, 3,12,    28.00, -9999.00,    10.40,    33.35,  1018.80, -9999.00,     2.10,   230.00,     0.00,     0.00,    12.00,     3.00,    38.00, -9999.00,  4000.00
    23, 41780,2019, 1, 3,15,    23.00, -9999.00,    12.60,    51.92,  1019.90, -9999.00,     0.00,     0.00, -9999.00,     0.00, -9999.00,     3.00,    50.00, -9999.00,  4000.00
    24, 41780,2019, 1, 3,18,    20.00, -9999.00,    12.00,    59.97,  1020.60, -9999.00,     0.00,     0.00,     0.00,     0.00,    18.00,     3.00,    38.00, -9999.00,  2000.00
    25, 41780,2019, 1, 3,21,    19.00, -9999.00,     9.50,    54.03,  1019.50, -9999.00,     0.00,     0.00, -9999.00,     0.00, -9999.00,     3.00,    25.00, -9999.00,  2000.00
    26, 41780,2019, 1, 4, 0,    16.00, -9999.00,     8.10,    59.40,  1018.90, -9999.00,     0.00,     0.00,     0.00,     0.00,    12.00,     3.00,    25.00, -9999.00,  2000.00
