RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41525,2019, 1, 3,     5.50,    -4.00, -9999.00, -9999.00,     0.00
     3, 41525,2019, 1, 4,     0.50,    -3.00, -9999.00, -9999.00,     0.00
     4, 41525,2019, 1, 6, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     5, 41525,2019, 1, 6,     5.00,    -4.50, -9999.00, -9999.00,     8.00
     6, 41525,2019, 1, 8, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     7, 41525,2019, 1, 8,     2.50,    -4.00, -9999.00, -9999.00,     0.00
     8, 41525,2019, 1, 9,     5.00,    -4.50, -9999.00, -9999.00,     0.00
     9, 41525,2019, 1,10,     1.00,    -4.00, -9999.00, -9999.00,     0.00
    10, 41525,2019, 1,11,    -0.50,    -4.50, -9999.00, -9999.00,     9.00
    11, 41525,2019, 1,12,    -1.50,    -4.50, -9999.00, -9999.00,    17.00
    12, 41525,2019, 1,13,    -0.50,    -8.00, -9999.00, -9999.00,    27.00
    13, 41525,2019, 1,14,    -1.00,    -8.50, -9999.00, -9999.00,     0.00
    14, 41525,2019, 1,15,     0.50,    -7.00, -9999.00, -9999.00,     0.00
    15, 41525,2019, 1,16,     1.00,    -3.00, -9999.00, -9999.00,     0.00
    16, 41525,2019, 1,17,     6.70,    -4.50, -9999.00, -9999.00,     3.00
    17, 41525,2019, 1,18,     1.00,    -2.80, -9999.00, -9999.00,     0.00
    18, 41525,2019, 1,19,     2.00,    -2.50, -9999.00, -9999.00,     3.00
    19, 41525,2019, 1,20,     0.80,    -2.50, -9999.00, -9999.00,     7.00
    20, 41525,2019, 1,21,     0.50,    -2.50, -9999.00, -9999.00,    21.00
    21, 41525,2019, 1,22,     0.90,    -3.00, -9999.00, -9999.00,    47.00
    22, 41525,2019, 1,23,     1.20,    -2.00, -9999.00, -9999.00,     4.00
    23, 41525,2019, 1,24,    -1.10,    -7.30, -9999.00, -9999.00,     4.00
    24, 41525,2019, 1,25,     2.50,    -7.00, -9999.00, -9999.00,     2.00
    25, 41525,2019, 1,26,     2.50,    -8.50, -9999.00, -9999.00,     8.00
    26, 41525,2019, 1,27,     1.50,    -7.50, -9999.00, -9999.00,     0.00
    27, 41525,2019, 1,28,     3.50,    -6.50, -9999.00, -9999.00,     0.00
