RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41639,2019, 1, 2,    19.50,     3.80, -9999.00, -9999.00,     0.00
     3, 41639,2019, 1, 3,    21.50,     3.30, -9999.00, -9999.00,     0.00
     4, 41639,2019, 1, 4,    18.50,     2.30, -9999.00, -9999.00,     0.00
     5, 41639,2019, 1, 5,     8.00,     3.50, -9999.00, -9999.00,     2.00
     6, 41639,2019, 1, 6,    20.50,     2.80, -9999.00, -9999.00,     0.00
     7, 41639,2019, 1, 7,    10.50,     3.50, -9999.00, -9999.00,     0.00
     8, 41639,2019, 1, 8,    19.00,     4.30, -9999.00, -9999.00,     0.00
     9, 41639,2019, 1, 9,    20.50,     4.20, -9999.00, -9999.00,     0.00
    10, 41639,2019, 1,10,    16.00,     2.80, -9999.00, -9999.00,     0.00
    11, 41639,2019, 1,11,    20.50,     4.00, -9999.00, -9999.00,     0.00
    12, 41639,2019, 1,12,    17.00,     4.50, -9999.00, -9999.00,     0.00
    13, 41639,2019, 1,13,    18.50,     5.50, -9999.00, -9999.00,     1.40
    14, 41639,2019, 1,14,    19.50,     5.00, -9999.00, -9999.00,     0.00
    15, 41639,2019, 1,15,    19.00,     4.50, -9999.00, -9999.00,     0.00
    16, 41639,2019, 1,16,    16.00,     4.00, -9999.00, -9999.00,     0.00
    17, 41639,2019, 1,17,    21.50,     4.00, -9999.00, -9999.00,     0.00
    18, 41639,2019, 1,18,    19.00,     3.50, -9999.00, -9999.00,     0.00
    19, 41639,2019, 1,19,    19.50,     4.00, -9999.00, -9999.00,     0.00
    20, 41639,2019, 1,20,    18.50,     5.00, -9999.00, -9999.00,     0.00
    21, 41639,2019, 1,21,    14.00,     4.80, -9999.00, -9999.00,    17.60
    22, 41639,2019, 1,22,    14.50,     6.70, -9999.00, -9999.00,    12.40
    23, 41639,2019, 1,23,    17.50,     4.80, -9999.00, -9999.00,    17.20
    24, 41639,2019, 1,24,    18.50,     3.80, -9999.00, -9999.00,     0.00
    25, 41639,2019, 1,25,    17.50,     3.60, -9999.00, -9999.00,     0.00
    26, 41639,2019, 1,26,    18.00,     4.00, -9999.00, -9999.00,     0.00
    27, 41639,2019, 1,27,    18.00,     3.50, -9999.00, -9999.00,     0.00
    28, 41639,2019, 1,28,    19.00,     3.50, -9999.00, -9999.00,     0.00
    29, 41639,2019, 1,29,    20.00,     4.00, -9999.00, -9999.00,     0.00
    30, 41639,2019, 1,30,    14.50,     4.50, -9999.00, -9999.00,     0.00
    31, 41639,2019, 1,31,    14.00,     7.00, -9999.00, -9999.00,     2.90
    32, 41639,2019, 2, 1,    16.50,     7.00, -9999.00, -9999.00,     9.40
    33, 41639,2019, 2, 2,    21.00,     6.00, -9999.00, -9999.00,     0.00
    34, 41639,2019, 2, 3,    22.50,     6.00, -9999.00, -9999.00,     0.00
    35, 41639,2019, 2, 4,    21.00,     6.50, -9999.00, -9999.00,     0.00
    36, 41639,2019, 2, 5,    22.00,     7.80, -9999.00, -9999.00,     0.00
    37, 41639,2019, 2, 6,    15.50,     8.50, -9999.00, -9999.00,     0.00
    38, 41639,2019, 2, 7,    15.00,     7.40, -9999.00, -9999.00,    23.90
    39, 41639,2019, 2, 8,    19.50,     7.50, -9999.00, -9999.00,     7.20
    40, 41639,2019, 2, 9,    20.50,     4.80, -9999.00, -9999.00,     0.00
    41, 41639,2019, 2,10,    20.50,     5.50, -9999.00, -9999.00,     0.00
    42, 41639,2019, 2,11,    20.50,     6.50, -9999.00, -9999.00,     0.00
    43, 41639,2019, 2,12,    17.50,     7.50, -9999.00, -9999.00,     0.00
    44, 41639,2019, 2,13,    20.50,     8.00, -9999.00, -9999.00,     0.00
    45, 41639,2019, 2,14,    15.00,     9.00, -9999.00, -9999.00,     0.00
    46, 41639,2019, 2,15,    20.50,     8.00, -9999.00, -9999.00,    15.80
    47, 41639,2019, 2,16,    21.50,     7.50, -9999.00, -9999.00,     0.00
    48, 41639,2019, 2,17,    20.50,     8.00, -9999.00, -9999.00,     0.00
    49, 41639,2019, 2,18,    18.50,     7.50, -9999.00, -9999.00,     7.60
    50, 41639,2019, 2,19,    20.00,     8.00, -9999.00, -9999.00,     0.50
    51, 41639,2019, 2,20,    21.50,     8.50, -9999.00, -9999.00,     0.00
    52, 41639,2019, 2,21,    17.50,     7.50, -9999.00, -9999.00,    28.00
    53, 41639,2019, 2,22,    20.50,     8.00, -9999.00, -9999.00,     2.00
