RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41518,2019, 1, 2,     7.80,     1.70, -9999.00, -9999.00,     0.00
     3, 41518,2019, 1, 3,    10.60,     0.60, -9999.00, -9999.00,     0.00
     4, 41518,2019, 1, 4,     5.60,     0.80, -9999.00, -9999.00,     0.00
     5, 41518,2019, 1, 5,     2.50,     0.00, -9999.00, -9999.00,     1.00
     6, 41518,2019, 1, 6,     8.30,     0.00, -9999.00, -9999.00,     1.00
     7, 41518,2019, 1, 7,     4.40,     1.40, -9999.00, -9999.00,     0.00
     8, 41518,2019, 1, 8,     5.60,     1.10, -9999.00, -9999.00,     0.00
     9, 41518,2019, 1, 9,     8.90,     0.30, -9999.00, -9999.00,   999.00
    10, 41518,2019, 1,10,     6.10,    -0.30, -9999.00, -9999.00,     0.00
    11, 41518,2019, 1,11,     7.20,     0.60, -9999.00, -9999.00,     3.00
    12, 41518,2019, 1,12,     7.20,    -2.20, -9999.00, -9999.00,     0.00
    13, 41518,2019, 1,13,     8.30,    -0.60, -9999.00, -9999.00,     3.00
    14, 41518,2019, 1,14,     7.20,    -0.30, -9999.00, -9999.00,     0.00
    15, 41518,2019, 1,15,     6.70,    -1.40, -9999.00, -9999.00,     0.00
    16, 41518,2019, 1,16,     6.70,     0.60, -9999.00, -9999.00,     0.00
    17, 41518,2019, 1,17,     9.20,     0.30, -9999.00, -9999.00,     0.00
    18, 41518,2019, 1,18,     8.60,     0.30, -9999.00, -9999.00,     0.00
    19, 41518,2019, 1,19,     6.40,     1.90, -9999.00, -9999.00,     0.00
    20, 41518,2019, 1,20,     7.50,     1.40, -9999.00, -9999.00,   999.00
    21, 41518,2019, 1,21,     4.40,     1.90, -9999.00, -9999.00,   999.00
    22, 41518,2019, 1,22,     6.10,     1.90, -9999.00, -9999.00,     8.60
    23, 41518,2019, 1,23,     9.70,     2.80, -9999.00, -9999.00,     4.60
    24, 41518,2019, 1,24,     9.70,     2.50, -9999.00, -9999.00,   999.00
    25, 41518,2019, 1,25,     7.50,     3.30, -9999.00, -9999.00,     0.00
    26, 41518,2019, 1,26,    10.00,    -0.80, -9999.00, -9999.00,     0.00
    27, 41518,2019, 1,27,     8.90,     0.30, -9999.00, -9999.00,     0.00
    28, 41518,2019, 1,28,     7.20,    -0.30, -9999.00, -9999.00,     0.00
    29, 41518,2019, 1,29,     6.10,    -2.20, -9999.00, -9999.00,     0.00
    30, 41518,2019, 1,30,     7.50,    -0.80, -9999.00, -9999.00,     0.00
    31, 41518,2019, 1,31,     6.70,     1.40, -9999.00, -9999.00,     0.00
    32, 41518,2019, 2, 1,     8.30,     3.10, -9999.00, -9999.00,     6.00
    33, 41518,2019, 2, 2,    11.10,     1.40, -9999.00, -9999.00,     0.50
    34, 41518,2019, 2, 3,    12.20,     1.40, -9999.00, -9999.00,     0.00
    35, 41518,2019, 2, 4,    11.40,     3.60, -9999.00, -9999.00,     0.00
    36, 41518,2019, 2, 5,     7.80,     5.30, -9999.00, -9999.00,     6.00
    37, 41518,2019, 2, 6,     6.40,     3.60, -9999.00, -9999.00,     5.00
    38, 41518,2019, 2, 7,     5.00,     2.50, -9999.00, -9999.00,     6.00
    39, 41518,2019, 2, 8,     9.40,     2.20, -9999.00, -9999.00,     2.00
    40, 41518,2019, 2, 9,    10.60,     2.50, -9999.00, -9999.00,   999.00
    41, 41518,2019, 2,10,    11.70,     1.10, -9999.00, -9999.00,     0.00
    42, 41518,2019, 2,11,    10.60,     3.30, -9999.00, -9999.00,     0.00
    43, 41518,2019, 2,12,    11.10,     4.70, -9999.00, -9999.00,     0.00
    44, 41518,2019, 2,13,    11.10,     5.00, -9999.00, -9999.00,   999.00
    45, 41518,2019, 2,14,    11.10,     4.70, -9999.00, -9999.00,     2.00
    46, 41518,2019, 2,15,    14.40,     5.60, -9999.00, -9999.00,   999.00
    47, 41518,2019, 2,16,    13.90,     2.80, -9999.00, -9999.00,     0.00
    48, 41518,2019, 2,17,    11.70,     3.90, -9999.00, -9999.00,     0.00
    49, 41518,2019, 2,18,    10.30,     5.00, -9999.00, -9999.00,     0.00
    50, 41518,2019, 2,19,    13.60,     3.90, -9999.00, -9999.00,   999.00
    51, 41518,2019, 2,20,    11.70,     5.60, -9999.00, -9999.00,     0.00
    52, 41518,2019, 2,21,     7.80,     3.90, -9999.00, -9999.00,     0.60
    53, 41518,2019, 2,22,    10.80,     3.10, -9999.00, -9999.00,     1.90
    54, 41518,2019, 2,23,    12.20,     4.40, -9999.00, -9999.00,     0.00
    55, 41518,2019, 2,24,    13.30,     6.10, -9999.00, -9999.00,     0.00
    56, 41518,2019, 2,25,    12.20,     5.00, -9999.00, -9999.00,     0.00
