RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41624,2019, 1, 2,    21.50,     4.50, -9999.00, -9999.00,     0.00
     3, 41624,2019, 1, 3,    20.50,     5.00, -9999.00, -9999.00,     0.00
     4, 41624,2019, 1, 4,    18.50,     6.00, -9999.00, -9999.00,     0.00
     5, 41624,2019, 1, 5,    11.00,     8.50, -9999.00, -9999.00,     0.00
     6, 41624,2019, 1, 6,    20.00,     3.50, -9999.00, -9999.00,     0.00
     7, 41624,2019, 1, 7,    11.00,     6.50, -9999.00, -9999.00,     0.00
     8, 41624,2019, 1, 8,    21.50,     4.00, -9999.00, -9999.00,     0.00
     9, 41624,2019, 1, 9,    23.50,     5.00, -9999.00, -9999.00,     0.00
    10, 41624,2019, 1,10,    20.00,     4.50, -9999.00, -9999.00,     0.00
    11, 41624,2019, 1,11,    19.50,     5.00, -9999.00, -9999.00,     0.00
    12, 41624,2019, 1,12,    19.00,     9.00, -9999.00, -9999.00,     0.00
    13, 41624,2019, 1,13,    18.50,     4.50, -9999.00, -9999.00,     0.00
    14, 41624,2019, 1,14,    21.50,     4.50, -9999.00, -9999.00,     0.00
    15, 41624,2019, 1,15,    22.50,     4.50, -9999.00, -9999.00,     0.00
    16, 41624,2019, 1,16,    21.00,     5.00, -9999.00, -9999.00,     0.00
    17, 41624,2019, 1,17,    23.00,     5.00, -9999.00, -9999.00,     0.00
    18, 41624,2019, 1,18,    21.00,     6.00, -9999.00, -9999.00,     0.00
    19, 41624,2019, 1,19,    23.00,     6.50, -9999.00, -9999.00,     0.00
    20, 41624,2019, 1,20,    15.50,     7.00, -9999.00, -9999.00,     0.00
    21, 41624,2019, 1,21,    19.00,     7.00, -9999.00, -9999.00,     0.40
    22, 41624,2019, 1,22,    17.50,     5.50, -9999.00, -9999.00,     0.00
    23, 41624,2019, 1,23,    18.00,     6.00, -9999.00, -9999.00,     0.00
    24, 41624,2019, 1,24,    19.50,     4.00, -9999.00, -9999.00,     0.00
    25, 41624,2019, 1,25,    21.50,     3.00, -9999.00, -9999.00,     0.00
    26, 41624,2019, 1,26,    19.50,     2.50, -9999.00, -9999.00,     0.00
    27, 41624,2019, 1,27,    21.50,     3.00, -9999.00, -9999.00,     0.00
    28, 41624,2019, 1,28,    22.00,     2.50, -9999.00, -9999.00,     0.00
    29, 41624,2019, 1,29,    20.00,     2.50, -9999.00, -9999.00,     0.00
    30, 41624,2019, 1,30,    14.50,     4.50, -9999.00, -9999.00,     0.00
    31, 41624,2019, 1,31,    10.50,     5.50, -9999.00, -9999.00,    25.00
    32, 41624,2019, 2, 1,    18.50,     5.50, -9999.00, -9999.00,     2.00
    33, 41624,2019, 2, 2,    22.00,     5.00, -9999.00, -9999.00,     0.00
    34, 41624,2019, 2, 3,    24.00,     5.50, -9999.00, -9999.00,     0.00
    35, 41624,2019, 2, 4,    22.00,     7.50, -9999.00, -9999.00,     0.00
    36, 41624,2019, 2, 5,    23.00,     9.00, -9999.00, -9999.00,     0.00
    37, 41624,2019, 2, 6,    21.00,     9.50, -9999.00, -9999.00,   999.00
    38, 41624,2019, 2, 7,    20.50,     7.00, -9999.00, -9999.00,     0.00
    39, 41624,2019, 2, 8,    16.50,     7.00, -9999.00, -9999.00,     0.00
    40, 41624,2019, 2, 9,    20.00,     5.00, -9999.00, -9999.00,     0.00
    41, 41624,2019, 2,10,    22.50,     5.50, -9999.00, -9999.00,     0.00
    42, 41624,2019, 2,11,    22.50,     6.50, -9999.00, -9999.00,     0.00
    43, 41624,2019, 2,12,    19.50,     7.50, -9999.00, -9999.00,     0.00
    44, 41624,2019, 2,13,    22.50,    11.50, -9999.00, -9999.00,     0.00
