RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41523,2019, 1, 2,    12.00,     1.00, -9999.00, -9999.00,     1.00
     3, 41523,2019, 1, 3,    14.50,     0.50, -9999.00, -9999.00,     0.10
     4, 41523,2019, 1, 4,     8.00,     1.00, -9999.00, -9999.00,     0.00
     5, 41523,2019, 1, 5,     3.00,     2.00, -9999.00, -9999.00,     7.00
     6, 41523,2019, 1, 6,    12.00,     0.00, -9999.00, -9999.00,    18.50
     7, 41523,2019, 1, 7,     6.00,     2.00, -9999.00, -9999.00,     0.00
     8, 41523,2019, 1, 8,    14.00,     2.00, -9999.00, -9999.00,     0.00
     9, 41523,2019, 1, 9,    16.00,     0.00, -9999.00, -9999.00,     0.00
    10, 41523,2019, 1,10,    10.00,     0.00, -9999.00, -9999.00,     0.00
    11, 41523,2019, 1,11,    10.00,     4.00, -9999.00, -9999.00,     3.00
    12, 41523,2019, 1,12,     9.00,     4.00, -9999.00, -9999.00,    13.00
    13, 41523,2019, 1,13,    11.50,     1.00, -9999.00, -9999.00,     9.00
    14, 41523,2019, 1,14,    11.70,     0.00, -9999.00, -9999.00,     0.00
    15, 41523,2019, 1,15,    13.70,     0.50, -9999.00, -9999.00,     0.00
    16, 41523,2019, 1,16,    11.00,     1.00, -9999.00, -9999.00,     0.00
    17, 41523,2019, 1,17,    15.50,     1.00, -9999.00, -9999.00,     0.00
    18, 41523,2019, 1,18,    12.00,     1.00, -9999.00, -9999.00,     0.00
    19, 41523,2019, 1,19,    11.00,     3.00, -9999.00, -9999.00,     0.00
    20, 41523,2019, 1,20,    10.50,     3.00, -9999.00, -9999.00,     1.50
    21, 41523,2019, 1,21,     8.50,     2.00, -9999.00, -9999.00,    16.50
    22, 41523,2019, 1,22,     7.50,     2.00, -9999.00, -9999.00,     6.60
    23, 41523,2019, 1,23,     9.50,     3.50, -9999.00, -9999.00,    35.00
    24, 41523,2019, 1,24,    11.00,     1.00, -9999.00, -9999.00,     7.00
    25, 41523,2019, 1,25,    12.00,     0.50, -9999.00, -9999.00,     1.00
    26, 41523,2019, 1,26,    13.00,     0.00, -9999.00, -9999.00,     0.00
    27, 41523,2019, 1,27,    14.00,     0.00, -9999.00, -9999.00,     0.00
    28, 41523,2019, 1,28,    13.50,     0.00, -9999.00, -9999.00,     0.00
    29, 41523,2019, 1,29,    14.00,     0.50, -9999.00, -9999.00,     0.00
    30, 41523,2019, 1,30,    13.50,     3.50, -9999.00, -9999.00,     0.00
    31, 41523,2019, 1,31,     7.50,     4.50, -9999.00, -9999.00,     4.00
    32, 41523,2019, 2, 1,    12.50,     3.50, -9999.00, -9999.00,    19.00
    33, 41523,2019, 2, 2,    14.80,     1.50, -9999.00, -9999.00,     0.00
    34, 41523,2019, 2, 3,    18.30,     2.50, -9999.00, -9999.00,     0.00
    35, 41523,2019, 2, 4,    13.50,     3.70, -9999.00, -9999.00,     0.00
    36, 41523,2019, 2, 5,    15.00,     4.00, -9999.00, -9999.00,     0.00
    37, 41523,2019, 2, 6,    12.30,     5.50, -9999.00, -9999.00,    20.00
    38, 41523,2019, 2, 7,    14.00,     5.50, -9999.00, -9999.00,     2.00
    39, 41523,2019, 2, 8,    11.30,     6.00, -9999.00, -9999.00,     2.00
    40, 41523,2019, 2, 9,    15.00,     2.00, -9999.00, -9999.00,     2.00
    41, 41523,2019, 2,10,    17.50,     2.50, -9999.00, -9999.00,     0.00
    42, 41523,2019, 2,11,    20.70,     4.00, -9999.00, -9999.00,     0.00
    43, 41523,2019, 2,12,    15.50,     5.80, -9999.00, -9999.00,     0.00
