RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41701,2019, 1, 2,    20.50,     4.00, -9999.00, -9999.00,     0.00
     3, 41701,2019, 1, 3,    17.50,     6.70, -9999.00, -9999.00,     0.00
     4, 41701,2019, 1, 4,    16.00,     7.70, -9999.00, -9999.00,     0.00
     5, 41701,2019, 1, 5,    12.00,     9.00, -9999.00, -9999.00,     0.00
     6, 41701,2019, 1, 6,    18.70,     7.50, -9999.00, -9999.00,     0.00
     7, 41701,2019, 1, 7,     9.00,     4.50, -9999.00, -9999.00,     0.00
     8, 41701,2019, 1, 8,    19.20,     2.50, -9999.00, -9999.00,     0.00
     9, 41701,2019, 1, 9,    22.10,     3.80, -9999.00, -9999.00,     0.00
    10, 41701,2019, 1,10,    23.20,     4.80, -9999.00, -9999.00,     0.00
    11, 41701,2019, 1,11,    22.10,     8.50, -9999.00, -9999.00,     0.00
    12, 41701,2019, 1,12,    15.50,     6.30, -9999.00, -9999.00,     0.00
    13, 41701,2019, 1,13,    20.20,     5.50, -9999.00, -9999.00,     0.00
    14, 41701,2019, 1,14,    19.00,     4.00, -9999.00, -9999.00,     0.00
    15, 41701,2019, 1,15,    20.20,     4.00, -9999.00, -9999.00,     0.00
    16, 41701,2019, 1,16,    22.00,     5.00, -9999.00, -9999.00,     0.00
    17, 41701,2019, 1,17,    20.20,     7.20, -9999.00, -9999.00,     0.00
    18, 41701,2019, 1,18,    20.20,     7.70, -9999.00, -9999.00,     0.00
    19, 41701,2019, 1,19,    21.20,     7.70, -9999.00, -9999.00,     0.00
    20, 41701,2019, 1,20,    20.50,     8.70, -9999.00, -9999.00,     0.00
    21, 41701,2019, 1,21,    16.50,     9.70, -9999.00, -9999.00,     8.80
    22, 41701,2019, 1,22,    17.20,     5.70, -9999.00, -9999.00,     0.00
    23, 41701,2019, 1,23,    14.50,     6.70, -9999.00, -9999.00,     0.00
    24, 41701,2019, 1,24,    13.20,     6.20, -9999.00, -9999.00,     0.00
    25, 41701,2019, 1,25,    16.60,     5.80, -9999.00, -9999.00,     0.00
    26, 41701,2019, 1,26,    18.40,     2.60, -9999.00, -9999.00,     0.00
    27, 41701,2019, 1,27,    19.20,     2.90, -9999.00, -9999.00,     0.00
    28, 41701,2019, 1,28,    22.00,     4.80, -9999.00, -9999.00,     0.00
    29, 41701,2019, 1,29,    22.70,     4.90, -9999.00, -9999.00,     0.00
    30, 41701,2019, 1,30,    19.20,     5.50, -9999.00, -9999.00,     0.00
    31, 41701,2019, 1,31,    15.10,     7.80, -9999.00, -9999.00,     0.00
    32, 41701,2019, 2, 1,    16.00,     6.50, -9999.00, -9999.00,     0.00
    33, 41701,2019, 2, 2,    19.70,     5.00, -9999.00, -9999.00,     0.00
    34, 41701,2019, 2, 3,    21.40,     3.80, -9999.00, -9999.00,     0.00
    35, 41701,2019, 2, 4,    21.50,     4.00, -9999.00, -9999.00,     0.00
    36, 41701,2019, 2, 5,    22.50,     6.00, -9999.00, -9999.00,     0.00
    37, 41701,2019, 2, 6,    19.50,     9.70, -9999.00, -9999.00,     0.00
    38, 41701,2019, 2, 7,    13.50,     8.50, -9999.00, -9999.00,     7.00
    39, 41701,2019, 2, 8,    17.20,     5.50, -9999.00, -9999.00,     2.40
    40, 41701,2019, 2, 9,    19.70,     5.50, -9999.00, -9999.00,     0.00
    41, 41701,2019, 2,10,    20.50,     5.50, -9999.00, -9999.00,     0.00
    42, 41701,2019, 2,11,    20.50,     8.00, -9999.00, -9999.00,     0.00
    43, 41701,2019, 2,12,    22.00,     9.50, -9999.00, -9999.00,     0.00
    44, 41701,2019, 2,13,    21.40,     9.00, -9999.00, -9999.00,     0.00
    45, 41701,2019, 2,14,    22.00,     9.00, -9999.00, -9999.00,     0.00
    46, 41701,2019, 2,15,    20.50,     8.50, -9999.00, -9999.00,     0.00
    47, 41701,2019, 2,16,    22.50,     8.00, -9999.00, -9999.00,     0.00
    48, 41701,2019, 2,17,    24.40,     6.70, -9999.00, -9999.00,     0.00
    49, 41701,2019, 2,18,    20.20,     9.00, -9999.00, -9999.00,     0.00
    50, 41701,2019, 2,19,    20.70,     9.00, -9999.00, -9999.00,     0.00
    51, 41701,2019, 2,20,    15.20,     9.70, -9999.00, -9999.00,     0.00
    52, 41701,2019, 2,21,    20.20,    10.70, -9999.00, -9999.00,    20.70
    53, 41701,2019, 2,22,    21.20,     8.70, -9999.00, -9999.00,     0.00
    54, 41701,2019, 2,23,    22.70,     8.00, -9999.00, -9999.00,     0.00
    55, 41701,2019, 2,24,    24.50,     8.70, -9999.00, -9999.00,     0.00
    56, 41701,2019, 2,25,    24.50,     9.50, -9999.00, -9999.00,     0.00
    57, 41701,2019, 2,26,    19.20,     8.50, -9999.00, -9999.00,     0.00
    58, 41701,2019, 2,27,    20.50,     8.50, -9999.00, -9999.00,     0.00
    59, 41701,2019, 2,28,    23.80,     8.20, -9999.00, -9999.00,     0.00
    60, 41701,2019, 3, 1,    22.20,     9.50, -9999.00, -9999.00,     0.00
    61, 41701,2019, 3, 2,    16.10,    12.00, -9999.00, -9999.00,     2.00
    62, 41701,2019, 3, 3,    18.40,    12.50, -9999.00, -9999.00,     2.00
    63, 41701,2019, 3, 4,    22.70,    10.00, -9999.00, -9999.00,     0.00
    64, 41701,2019, 3, 5,    25.20,    10.00, -9999.00, -9999.00,     0.00
    65, 41701,2019, 3, 6,    27.20,    10.70, -9999.00, -9999.00,     0.00
    66, 41701,2019, 3, 7,    27.00,    10.70, -9999.00, -9999.00,     0.00
    67, 41701,2019, 3, 8,    22.20,    10.70, -9999.00, -9999.00,     3.00
    68, 41701,2019, 3, 9,    25.00,    10.70, -9999.00, -9999.00,     0.40
    69, 41701,2019, 3,10,    27.50,     9.00, -9999.00, -9999.00,     0.00
    70, 41701,2019, 3,11,    20.50,    11.00, -9999.00, -9999.00,     8.00
    71, 41701,2019, 3,12,    23.10,    10.50, -9999.00, -9999.00,     0.00
    72, 41701,2019, 3,13,    25.40,    14.00, -9999.00, -9999.00,     0.00
    73, 41701,2019, 3,14,    23.50,    13.00, -9999.00, -9999.00,     0.30
    74, 41701,2019, 3,15,    26.10,    11.00, -9999.00, -9999.00,     0.30
    75, 41701,2019, 3,16,    26.20,    11.50, -9999.00, -9999.00,     0.00
    76, 41701,2019, 3,17,    29.00,    12.00, -9999.00, -9999.00,     0.00
    77, 41701,2019, 3,18,    28.20,    13.50, -9999.00, -9999.00,     0.00
    78, 41701,2019, 3,19,    30.20,    13.50, -9999.00, -9999.00,     0.00
    79, 41701,2019, 3,20,    25.70,    14.70, -9999.00, -9999.00,     0.00
    80, 41701,2019, 3,21,    27.50,    13.70, -9999.00, -9999.00,     0.00
    81, 41701,2019, 3,22,    29.30,    14.70, -9999.00, -9999.00,     0.00
    82, 41701,2019, 3,23,    29.50,    15.70, -9999.00, -9999.00,     0.00
    83, 41701,2019, 3,24,    26.20,    16.70, -9999.00, -9999.00,     0.00
    84, 41701,2019, 3,25,    30.50,    16.70, -9999.00, -9999.00,     0.00
    85, 41701,2019, 3,26,    34.20,    16.00, -9999.00, -9999.00,     0.00
    86, 41701,2019, 3,27,    35.20,    16.50, -9999.00, -9999.00,     0.00
    87, 41701,2019, 3,28,    35.50,    18.50, -9999.00, -9999.00,     0.00
    88, 41701,2019, 3,29,    35.00,    20.50, -9999.00, -9999.00,     0.00
    89, 41701,2019, 3,30,    35.20,    20.00, -9999.00, -9999.00,     0.00
    90, 41701,2019, 3,31,    34.80,    19.00, -9999.00, -9999.00,     0.00
    91, 41701,2019, 4, 1,    35.30,    16.00, -9999.00, -9999.00,     0.00
    92, 41701,2019, 4, 2,    38.30,    16.70, -9999.00, -9999.00,     0.00
    93, 41701,2019, 4, 3,    39.30,    18.70, -9999.00, -9999.00,     0.00
    94, 41701,2019, 4, 4,    40.30,    20.70, -9999.00, -9999.00,     0.00
    95, 41701,2019, 4, 5,    40.30,    20.70, -9999.00, -9999.00,     0.00
    96, 41701,2019, 4, 6,    39.70,    20.70, -9999.00, -9999.00,     0.00
    97, 41701,2019, 4, 7,    40.00,    21.70, -9999.00, -9999.00,     0.00
    98, 41701,2019, 4, 8,    37.10,    21.50, -9999.00, -9999.00,     0.00
    99, 41701,2019, 4, 9,    40.20,    21.00, -9999.00, -9999.00,     0.00
   100, 41701,2019, 4,10,    37.20,    22.50, -9999.00, -9999.00,     0.00
   101, 41701,2019, 4,11,    38.00,    23.00, -9999.00, -9999.00,     0.00
   102, 41701,2019, 4,12,    34.50,    20.50, -9999.00, -9999.00,     0.00
   103, 41701,2019, 4,13,    34.50,    19.50, -9999.00, -9999.00,    13.00
   104, 41701,2019, 4,14,    35.70,    20.50, -9999.00, -9999.00,     0.00
   105, 41701,2019, 4,15,    35.30,    20.00, -9999.00, -9999.00,     7.00
   106, 41701,2019, 4,16,    33.30,    19.00, -9999.00, -9999.00,     7.00
   107, 41701,2019, 4,17,    26.30,    17.70, -9999.00, -9999.00,     6.60
   108, 41701,2019, 4,18,    28.30,    15.70, -9999.00, -9999.00,    17.00
   109, 41701,2019, 4,19,    32.70,    17.70, -9999.00, -9999.00,     0.00
   110, 41701,2019, 4,20,    37.80,    19.70, -9999.00, -9999.00,     0.00
   111, 41701,2019, 4,21,    40.50,    21.50, -9999.00, -9999.00,     0.00
   112, 41701,2019, 4,22,    42.20,    22.00, -9999.00, -9999.00,     0.00
   113, 41701,2019, 4,23,    42.00,    22.00, -9999.00, -9999.00,     0.00
   114, 41701,2019, 4,24,    37.10,    24.00, -9999.00, -9999.00,     0.00
   115, 41701,2019, 4,25,    38.00,    23.00, -9999.00, -9999.00,     0.00
   116, 41701,2019, 4,26,    39.20,    22.50, -9999.00, -9999.00,     0.00
   117, 41701,2019, 4,27,    40.50,    22.50, -9999.00, -9999.00,     0.00
   118, 41701,2019, 4,28,    41.20,    24.00, -9999.00, -9999.00,     0.00
