RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41635,2019, 1, 2,    22.60,     5.20, -9999.00, -9999.00,     0.00
     3, 41635,2019, 1, 3,    22.50,     4.30, -9999.00, -9999.00,     0.00
     4, 41635,2019, 1, 4,    19.00,     4.40, -9999.00, -9999.00,     0.00
     5, 41635,2019, 1, 5,    11.50,     8.50, -9999.00, -9999.00,     0.00
     6, 41635,2019, 1, 6,    20.60,     7.50, -9999.00, -9999.00,     0.00
     7, 41635,2019, 1, 7,    10.50,     6.50, -9999.00, -9999.00,     0.00
     8, 41635,2019, 1, 8,    22.40,     4.10, -9999.00, -9999.00,     0.00
     9, 41635,2019, 1, 9,    24.60,     4.30, -9999.00, -9999.00,     0.00
    10, 41635,2019, 1,10,    20.30,     4.60, -9999.00, -9999.00,     0.00
    11, 41635,2019, 1,11,    19.00,     9.50, -9999.00, -9999.00,     0.00
    12, 41635,2019, 1,12,    18.20,     8.00, -9999.00, -9999.00,     0.00
    13, 41635,2019, 1,13,    19.50,     3.50, -9999.00, -9999.00,     0.00
    14, 41635,2019, 1,14,    21.00,     2.50, -9999.00, -9999.00,     0.00
    15, 41635,2019, 1,15,    23.50,     2.00, -9999.00, -9999.00,     0.00
    16, 41635,2019, 1,16,    19.70,     3.20, -9999.00, -9999.00,     0.00
    17, 41635,2019, 1,17,    24.50,     2.00, -9999.00, -9999.00,     0.00
    18, 41635,2019, 1,18,    21.50,     2.10, -9999.00, -9999.00,     0.00
    19, 41635,2019, 1,19,    21.60,     6.10, -9999.00, -9999.00,     0.00
    20, 41635,2019, 1,20,    15.40,     6.50, -9999.00, -9999.00,     0.00
    21, 41635,2019, 1,21,    14.50,     7.10, -9999.00, -9999.00,     1.00
    22, 41635,2019, 1,22,    16.50,     5.40, -9999.00, -9999.00,     8.20
    23, 41635,2019, 1,23,    18.50,     6.50, -9999.00, -9999.00,     0.00
    24, 41635,2019, 1,24,    19.50,     3.50, -9999.00, -9999.00,     0.00
    25, 41635,2019, 1,25,    19.20,     3.00, -9999.00, -9999.00,     0.00
    26, 41635,2019, 1,26,    21.00,     2.50, -9999.00, -9999.00,     0.00
    27, 41635,2019, 1,27,    21.20,     2.80, -9999.00, -9999.00,     0.00
