RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41560,2019, 1, 2,    12.50,    -2.00, -9999.00, -9999.00,     3.00
     3, 41560,2019, 1, 3,    14.50,    -1.50, -9999.00, -9999.00,     0.00
     4, 41560,2019, 1, 4,    14.50,    -2.00, -9999.00, -9999.00,     0.00
     5, 41560,2019, 1, 5,     1.00,    -3.00, -9999.00, -9999.00,    10.00
     6, 41560,2019, 1, 6,    11.00,    -4.00, -9999.00, -9999.00,     0.00
     7, 41560,2019, 1, 7,    -1.00,    -4.00, -9999.00, -9999.00,     0.00
     8, 41560,2019, 1, 8,    11.00,    -4.00, -9999.00, -9999.00,     0.00
     9, 41560,2019, 1, 9,    12.50,    -2.00, -9999.00, -9999.00,     0.00
    10, 41560,2019, 1,10,    13.00,    -1.00, -9999.00, -9999.00,     0.00
    11, 41560,2019, 1,11,    11.00,    -4.00, -9999.00, -9999.00,    14.00
    12, 41560,2019, 1,12,    11.50,    -2.00, -9999.00, -9999.00,     0.00
    13, 41560,2019, 1,13,    12.50,    -2.50, -9999.00, -9999.00,     0.00
    14, 41560,2019, 1,14,    13.50,    -2.00, -9999.00, -9999.00,     0.00
    15, 41560,2019, 1,15,    12.00,    -3.50, -9999.00, -9999.00,     0.00
    16, 41560,2019, 1,16,    14.00,    -2.00, -9999.00, -9999.00,     0.00
    17, 41560,2019, 1,17,    14.00,    -1.00, -9999.00, -9999.00,     0.00
    18, 41560,2019, 1,18,    13.50,    -2.00, -9999.00, -9999.00,     0.00
    19, 41560,2019, 1,19,    11.00,    -3.00, -9999.00, -9999.00,     0.00
    20, 41560,2019, 1,20,    11.00,    -3.50, -9999.00, -9999.00,     0.00
    21, 41560,2019, 1,21,    10.50,    -4.00, -9999.00, -9999.00,     6.00
    22, 41560,2019, 1,22,    12.50,    -1.50, -9999.00, -9999.00,     0.00
    23, 41560,2019, 1,23,    13.00,    -1.00, -9999.00, -9999.00,    15.00
    24, 41560,2019, 1,24,    11.00,    -3.50, -9999.00, -9999.00,     0.00
    25, 41560,2019, 1,25,    10.00,    -4.00, -9999.00, -9999.00,     0.00
    26, 41560,2019, 1,26,    10.00,    -4.50, -9999.00, -9999.00,     0.00
    27, 41560,2019, 1,27,    10.20,    -4.00, -9999.00, -9999.00,     0.00
    28, 41560,2019, 1,28,     9.00,    -5.00, -9999.00, -9999.00,     0.00
    29, 41560,2019, 1,29,    10.00,    -5.00, -9999.00, -9999.00,     0.00
    30, 41560,2019, 1,30,     8.00,    -5.00, -9999.00, -9999.00,     8.00
    31, 41560,2019, 1,31,     6.50,    -3.50, -9999.00, -9999.00,    20.00
    32, 41560,2019, 2, 1,     6.00,    -5.50, -9999.00, -9999.00,    15.00
    33, 41560,2019, 2, 2,     6.50,    -5.00, -9999.00, -9999.00,     0.00
    34, 41560,2019, 2, 3,    10.50,    -3.50, -9999.00, -9999.00,     0.00
    35, 41560,2019, 2, 4,    12.00,    -3.00, -9999.00, -9999.00,     0.00
    36, 41560,2019, 2, 5,    11.00,    -2.50, -9999.00, -9999.00,     0.00
    37, 41560,2019, 2, 6,     9.00,    -3.00, -9999.00, -9999.00,     8.00
    38, 41560,2019, 2, 7,    11.00,    -4.00, -9999.00, -9999.00,     0.00
    39, 41560,2019, 2, 8,    12.00,    -3.50, -9999.00, -9999.00,     0.00
    40, 41560,2019, 2, 9,    13.00,    -3.00, -9999.00, -9999.00,     0.00
    41, 41560,2019, 2,10,    14.00,    -1.00, -9999.00, -9999.00,     0.00
    42, 41560,2019, 2,11,    15.00,    -0.50, -9999.00, -9999.00,     0.00
    43, 41560,2019, 2,12,    12.00,     1.00, -9999.00, -9999.00,     0.00
    44, 41560,2019, 2,13,     9.00,    -2.00, -9999.00, -9999.00,     8.00
    45, 41560,2019, 2,14,     7.00,    -3.00, -9999.00, -9999.00,    20.00
    46, 41560,2019, 2,15,    14.50,     0.50, -9999.00, -9999.00,     3.00
    47, 41560,2019, 2,16,    13.50,     2.00, -9999.00, -9999.00,     0.00
    48, 41560,2019, 2,17,    12.00,     0.50, -9999.00, -9999.00,     0.00
    49, 41560,2019, 2,18,    11.50,    -0.50, -9999.00, -9999.00,     2.00
    50, 41560,2019, 2,19,    11.00,    -1.50, -9999.00, -9999.00,     0.00
    51, 41560,2019, 2,20,     8.50,    -3.50, -9999.00, -9999.00,     3.00
    52, 41560,2019, 2,21,     8.00,    -6.50, -9999.00, -9999.00,    37.00
    53, 41560,2019, 2,22,    12.00,    -5.50, -9999.00, -9999.00,     0.00
    54, 41560,2019, 2,23,    13.00,    -4.50, -9999.00, -9999.00,     0.00
    55, 41560,2019, 2,24,    14.00,    -3.00, -9999.00, -9999.00,     0.00
    56, 41560,2019, 2,25,    14.50,    -2.00, -9999.00, -9999.00,     0.00
    57, 41560,2019, 2,26,    14.00,    -3.00, -9999.00, -9999.00,     0.00
    58, 41560,2019, 2,27,    10.50,    -4.00, -9999.00, -9999.00,     0.00
    59, 41560,2019, 2,28,    13.00,    -4.50, -9999.00, -9999.00,     0.00
    60, 41560,2019, 3, 1,    10.50,    -5.00, -9999.00, -9999.00,     6.00
    61, 41560,2019, 3, 2,     6.50,    -6.00, -9999.00, -9999.00,    30.00
    62, 41560,2019, 3, 3,     7.50,    -6.50, -9999.00, -9999.00,    35.00
    63, 41560,2019, 3, 4,     8.50,    -5.00, -9999.00, -9999.00,     0.00
    64, 41560,2019, 3, 5,    14.00,    -4.50, -9999.00, -9999.00,     0.00
    65, 41560,2019, 3, 6,    14.00,    -2.50, -9999.00, -9999.00,     0.00
    66, 41560,2019, 3, 7,    11.00,    -4.00, -9999.00, -9999.00,     0.00
    67, 41560,2019, 3, 8,    13.00,    -3.50, -9999.00, -9999.00,     0.00
    68, 41560,2019, 3, 9,    13.00,    -3.00, -9999.00, -9999.00,     0.00
    69, 41560,2019, 3,10,    16.00,    -2.00, -9999.00, -9999.00,     0.00
    70, 41560,2019, 3,11,    17.00,    -1.00, -9999.00, -9999.00,     1.00
    71, 41560,2019, 3,12,    13.00,    -2.00, -9999.00, -9999.00,    20.00
    72, 41560,2019, 3,13,    12.50,    -3.50, -9999.00, -9999.00,     0.00
    73, 41560,2019, 3,14,    12.00,    -4.00, -9999.00, -9999.00,     2.00
    74, 41560,2019, 3,15,    13.00,    -4.00, -9999.00, -9999.00,     0.00
    75, 41560,2019, 3,16,    16.00,    -1.00, -9999.00, -9999.00,     0.00
    76, 41560,2019, 3,17,    17.00,    -0.50, -9999.00, -9999.00,     0.00
    77, 41560,2019, 3,18,    15.00,    -3.00, -9999.00, -9999.00,     0.00
    78, 41560,2019, 3,19,    12.00,    -4.00, -9999.00, -9999.00,    11.00
    79, 41560,2019, 3,20,    16.00,    -3.00, -9999.00, -9999.00,     6.00
    80, 41560,2019, 3,21,    17.00,    -1.00, -9999.00, -9999.00,     0.00
    81, 41560,2019, 3,22,    15.00,     0.50, -9999.00, -9999.00,     0.00
    82, 41560,2019, 3,23,    17.00,     1.00, -9999.00, -9999.00,     4.00
    83, 41560,2019, 3,24,    14.00,     0.50, -9999.00, -9999.00,     0.00
    84, 41560,2019, 3,25,    20.50,     2.50, -9999.00, -9999.00,     0.00
    85, 41560,2019, 3,26,    21.70,     4.00, -9999.00, -9999.00,     0.00
    86, 41560,2019, 3,27,    22.00,     5.00, -9999.00, -9999.00,     0.00
    87, 41560,2019, 3,28,    23.00,     5.00, -9999.00, -9999.00,     1.00
    88, 41560,2019, 3,29,    18.50,     6.00, -9999.00, -9999.00,     4.50
    89, 41560,2019, 3,30,    21.00,     5.00, -9999.00, -9999.00,     2.50
    90, 41560,2019, 3,31,    23.00,     5.50, -9999.00, -9999.00,     0.00
    91, 41560,2019, 4, 1,    25.20,     7.00, -9999.00, -9999.00,     0.00
    92, 41560,2019, 4, 2,    26.00,     8.00, -9999.00, -9999.00,     0.00
    93, 41560,2019, 4, 3,    27.50,     9.50, -9999.00, -9999.00,     0.00
    94, 41560,2019, 4, 4,    27.50,     9.00, -9999.00, -9999.00,     0.00
    95, 41560,2019, 4, 5,    28.00,    10.00, -9999.00, -9999.00,     0.00
    96, 41560,2019, 4, 6,    29.00,    12.00, -9999.00, -9999.00,     0.00
    97, 41560,2019, 4, 7,    29.50,    15.00, -9999.00, -9999.00,     0.00
    98, 41560,2019, 4, 8,    30.00,    14.00, -9999.00, -9999.00,     0.00
    99, 41560,2019, 4, 9,    22.00,    12.00, -9999.00, -9999.00,     0.00
   100, 41560,2019, 4,10,    23.00,     9.00, -9999.00, -9999.00,     4.00
   101, 41560,2019, 4,11,    24.00,     9.00, -9999.00, -9999.00,     0.00
   102, 41560,2019, 4,12,    18.50,     6.50, -9999.00, -9999.00,     8.00
   103, 41560,2019, 4,13,    19.00,     7.00, -9999.00, -9999.00,     4.00
   104, 41560,2019, 4,14,    19.00,     7.50, -9999.00, -9999.00,     5.00
   105, 41560,2019, 4,15,    17.00,     5.00, -9999.00, -9999.00,    21.00
   106, 41560,2019, 4,16,    11.00,     4.00, -9999.00, -9999.00,    44.00
   107, 41560,2019, 4,17,    15.00,     3.00, -9999.00, -9999.00,    35.00
   108, 41560,2019, 4,18,    15.50,     3.50, -9999.00, -9999.00,    10.00
   109, 41560,2019, 4,19,    22.00,     5.50, -9999.00, -9999.00,     0.00
   110, 41560,2019, 4,20,    23.00,     8.00, -9999.00, -9999.00,     0.00
   111, 41560,2019, 4,21,    23.00,     9.00, -9999.00, -9999.00,     3.00
   112, 41560,2019, 4,22,    24.00,     8.50, -9999.00, -9999.00,     0.00
   113, 41560,2019, 4,23,    22.00,     9.00, -9999.00, -9999.00,     0.00
   114, 41560,2019, 4,24,    24.50,    10.00, -9999.00, -9999.00,     1.00
   115, 41560,2019, 4,25,    21.00,     9.00, -9999.00, -9999.00,    10.00
   116, 41560,2019, 4,26,    19.00,     7.50, -9999.00, -9999.00,    14.00
   117, 41560,2019, 4,27,    25.50,    10.00, -9999.00, -9999.00,     0.00
