RECNO ,STATNO,YEAR,MM,DD,DAYMAXTMP,DAYMINTMP,DAYGNDTMP,DAYSUNDUR,DAYRAIN
     2, 41756,2019, 1, 2,    27.80,    14.00, -9999.00, -9999.00,     0.00
     3, 41756,2019, 1, 3,    26.50,    17.00, -9999.00, -9999.00,     0.00
     4, 41756,2019, 1, 4,    26.50,    17.00, -9999.00, -9999.00,     0.00
     5, 41756,2019, 1, 5,    28.50,    17.00, -9999.00, -9999.00,     0.00
     6, 41756,2019, 1, 6,    26.00,    14.50, -9999.00, -9999.00,     0.00
     7, 41756,2019, 1, 7,    20.00,    13.50, -9999.00, -9999.00,     0.00
     8, 41756,2019, 1, 8,    26.00,    16.00, -9999.00, -9999.00,     0.00
     9, 41756,2019, 1, 9,    26.50,    17.00, -9999.00, -9999.00,     0.00
    10, 41756,2019, 1,10,    27.00,    17.00, -9999.00, -9999.00,     0.00
    11, 41756,2019, 1,11,    26.50,    15.00, -9999.00, -9999.00,     0.00
    12, 41756,2019, 1,12,    27.00,    16.00, -9999.00, -9999.00,     0.00
    13, 41756,2019, 1,13,    27.00,    12.50, -9999.00, -9999.00,     0.00
    14, 41756,2019, 1,14,    26.50,    12.00, -9999.00, -9999.00,     0.00
    15, 41756,2019, 1,15,    26.00,    15.00, -9999.00, -9999.00,     0.00
    16, 41756,2019, 1,16,    26.00,    16.50, -9999.00, -9999.00,     0.00
    17, 41756,2019, 1,17,    27.00,    17.50, -9999.00, -9999.00,     0.00
    18, 41756,2019, 1,18,    27.00,    17.00, -9999.00, -9999.00,     0.00
    19, 41756,2019, 1,19,    27.00,    16.50, -9999.00, -9999.00,     0.00
    20, 41756,2019, 1,20,    25.00,    16.00, -9999.00, -9999.00,     0.00
    21, 41756,2019, 1,21,    24.00,    13.00, -9999.00, -9999.00,     0.00
    22, 41756,2019, 1,22,    24.00,     8.00, -9999.00, -9999.00,     0.00
    23, 41756,2019, 1,23,    25.50,     9.50, -9999.00, -9999.00,     0.00
    24, 41756,2019, 1,24,    24.50,    14.00, -9999.00, -9999.00,     0.00
    25, 41756,2019, 1,25,    25.00,    14.50, -9999.00, -9999.00,     0.00
    26, 41756,2019, 1,26,    26.00,    16.00, -9999.00, -9999.00,     0.00
    27, 41756,2019, 1,27,    26.20,    16.50, -9999.00, -9999.00,     0.00
    28, 41756,2019, 1,28,    25.00,    15.00, -9999.00, -9999.00,     3.00
    29, 41756,2019, 1,29,    26.00,    15.50, -9999.00, -9999.00,     1.00
    30, 41756,2019, 1,30,    26.50,    16.50, -9999.00, -9999.00,     0.00
    31, 41756,2019, 1,31,    26.50,    15.50, -9999.00, -9999.00,     0.00
    32, 41756,2019, 2, 1,    25.00,    16.00, -9999.00, -9999.00,     0.00
    33, 41756,2019, 2, 2,    26.00,    15.50, -9999.00, -9999.00,     0.00
    34, 41756,2019, 2, 3,    24.50,    16.50, -9999.00, -9999.00,     0.00
    35, 41756,2019, 2, 4,    24.00,    16.00, -9999.00, -9999.00,     0.00
    36, 41756,2019, 2, 5,    25.50,    14.50, -9999.00, -9999.00,     7.00
    37, 41756,2019, 2, 6,    21.00,    13.00, -9999.00, -9999.00,     0.00
    38, 41756,2019, 2, 7,    22.00,     7.00, -9999.00, -9999.00,     0.00
    39, 41756,2019, 2, 8,    23.00,     9.00, -9999.00, -9999.00,     0.00
    40, 41756,2019, 2, 9,    24.50,    11.00, -9999.00, -9999.00,     0.00
    41, 41756,2019, 2,10,    25.50,    15.50, -9999.00, -9999.00,     0.00
    42, 41756,2019, 2,11,    24.50,    14.00, -9999.00, -9999.00,     0.00
    43, 41756,2019, 2,12,    25.50,    15.50, -9999.00, -9999.00,     0.00
    44, 41756,2019, 2,13,    24.00,    16.50, -9999.00, -9999.00,     3.00
    45, 41756,2019, 2,14,    24.50,    15.00, -9999.00, -9999.00,     0.00
    46, 41756,2019, 2,15,    25.00,    12.50, -9999.00, -9999.00,     0.00
    47, 41756,2019, 2,16,    24.50,    17.00, -9999.00, -9999.00,     0.00
    48, 41756,2019, 2,17,    24.00,    15.50, -9999.00, -9999.00,     0.00
    49, 41756,2019, 2,18,    25.50,    14.00, -9999.00, -9999.00,     1.00
    50, 41756,2019, 2,19,    25.20,    15.00, -9999.00, -9999.00,     0.00
    51, 41756,2019, 2,20,    24.50,    16.50, -9999.00, -9999.00,    19.00
    52, 41756,2019, 2,21,    25.50,    12.50, -9999.00, -9999.00,     4.00
    53, 41756,2019, 2,22,    25.50,    15.00, -9999.00, -9999.00,     0.00
    54, 41756,2019, 2,23,    24.50,    12.50, -9999.00, -9999.00,     0.00
    55, 41756,2019, 2,24,    26.00,    15.50, -9999.00, -9999.00,     0.00
    56, 41756,2019, 2,25,    26.50,    16.50, -9999.00, -9999.00,     0.00
    57, 41756,2019, 2,26,    27.00,    16.00, -9999.00, -9999.00,     0.00
    58, 41756,2019, 2,27,    26.50,    14.50, -9999.00, -9999.00,     0.00
    59, 41756,2019, 2,28,    25.50,    16.50, -9999.00, -9999.00,     0.00
    60, 41756,2019, 3, 1,    24.00,    17.00, -9999.00, -9999.00,     0.00
    61, 41756,2019, 3, 2,    25.50,    14.00, -9999.00, -9999.00,     1.00
    62, 41756,2019, 3, 3,    25.50,    13.50, -9999.00, -9999.00,     0.00
    63, 41756,2019, 3, 4,    26.00,    15.00, -9999.00, -9999.00,     0.00
    64, 41756,2019, 3, 5,    26.00,    14.50, -9999.00, -9999.00,     0.00
    65, 41756,2019, 3, 6,    26.50,    15.00, -9999.00, -9999.00,     0.00
    66, 41756,2019, 3, 7,    25.50,    15.50, -9999.00, -9999.00,     0.00
    67, 41756,2019, 3, 8,    27.00,    17.50, -9999.00, -9999.00,     0.00
    68, 41756,2019, 3, 9,    26.50,    16.50, -9999.00, -9999.00,     0.00
    69, 41756,2019, 3,10,    24.50,    16.50, -9999.00, -9999.00,     0.00
    70, 41756,2019, 3,11,    27.00,    17.00, -9999.00, -9999.00,     0.00
    71, 41756,2019, 3,12,    13.00,    15.00, -9999.00, -9999.00,     0.00
    72, 41756,2019, 3,13,    24.00,    13.00, -9999.00, -9999.00,    14.00
    73, 41756,2019, 3,14,    26.00,    14.00, -9999.00, -9999.00,     0.00
    74, 41756,2019, 3,15,    26.00,    16.00, -9999.00, -9999.00,     0.00
    75, 41756,2019, 3,16,    26.50,    17.00, -9999.00, -9999.00,     0.00
    76, 41756,2019, 3,17,    26.50,    17.50, -9999.00, -9999.00,     0.00
    77, 41756,2019, 3,18,    26.50,    18.50, -9999.00, -9999.00,     0.00
    78, 41756,2019, 3,19,    25.50,    18.00, -9999.00, -9999.00,     0.00
    79, 41756,2019, 3,20,    28.00,    17.00, -9999.00, -9999.00,     0.00
    80, 41756,2019, 3,21,    26.50,    17.00, -9999.00, -9999.00,     0.00
    81, 41756,2019, 3,22,    25.50,    18.50, -9999.00, -9999.00,     0.00
    82, 41756,2019, 3,23,    28.50,    19.00, -9999.00, -9999.00,     0.00
    83, 41756,2019, 3,25, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    84, 41756,2019, 3,25,    31.00,    19.50, -9999.00, -9999.00,     0.00
    85, 41756,2019, 3,26,    31.00,    19.50, -9999.00, -9999.00,     0.00
    86, 41756,2019, 3,27,    29.50,    20.00, -9999.00, -9999.00,     0.00
    87, 41756,2019, 3,28,    31.00,    21.00, -9999.00, -9999.00,     0.00
    88, 41756,2019, 3,29,    31.00,    21.00, -9999.00, -9999.00,     0.00
    89, 41756,2019, 3,30,    33.00,    21.00, -9999.00, -9999.00,     0.00
    90, 41756,2019, 3,31,    35.00,    21.00, -9999.00, -9999.00,     0.00
    91, 41756,2019, 4, 1,    36.00,    22.00, -9999.00, -9999.00,     0.00
    92, 41756,2019, 4, 2,    35.00,    22.00, -9999.00, -9999.00,     0.00
    93, 41756,2019, 4, 3,    35.00,    23.50, -9999.00, -9999.00,     0.00
    94, 41756,2019, 4, 4,    35.00,    22.50, -9999.00, -9999.00,     0.00
    95, 41756,2019, 4, 5,    35.50,    23.00, -9999.00, -9999.00,     0.00
    96, 41756,2019, 4, 6,    35.00,    23.50, -9999.00, -9999.00,     0.00
    97, 41756,2019, 4, 7,    35.00,    23.50, -9999.00, -9999.00,     0.00
    98, 41756,2019, 4, 8,    35.00,    23.50, -9999.00, -9999.00,     0.00
    99, 41756,2019, 4, 9,    34.00,    24.00, -9999.00, -9999.00,     0.00
   100, 41756,2019, 4,10,    33.50,    24.50, -9999.00, -9999.00,     0.00
   101, 41756,2019, 4,11,    33.50,    25.00, -9999.00, -9999.00,     0.00
   102, 41756,2019, 4,12,    34.00,    25.00, -9999.00, -9999.00,     0.00
   103, 41756,2019, 4,13,    32.00,    25.00, -9999.00, -9999.00,     0.00
   104, 41756,2019, 4,14,    24.00,    20.00, -9999.00, -9999.00,     0.50
   105, 41756,2019, 4,15,    25.50,    19.00, -9999.00, -9999.00,   164.00
   106, 41756,2019, 4,16,    26.50,    22.00, -9999.00, -9999.00,     0.00
   107, 41756,2019, 4,17,    31.00,    20.00, -9999.00, -9999.00,     0.00
   108, 41756,2019, 4,18,    31.00,    21.00, -9999.00, -9999.00,     0.00
   109, 41756,2019, 4,19,    34.00,    21.00, -9999.00, -9999.00,     0.00
   110, 41756,2019, 4,20,    33.00,    21.00, -9999.00, -9999.00,     0.00
   111, 41756,2019, 4,21,    32.00,    22.00, -9999.00, -9999.00,     0.00
   112, 41756,2019, 4,22,    31.00,    23.00, -9999.00, -9999.00,     0.00
   113, 41756,2019, 4,23,    31.00,    24.00, -9999.00, -9999.00,     0.00
   114, 41756,2019, 4,24,    32.00,    24.00, -9999.00, -9999.00,     0.00
   115, 41756,2019, 4,25,    31.00,    23.00, -9999.00, -9999.00,     0.00
   116, 41756,2019, 4,26,    31.00,    22.00, -9999.00, -9999.00,     0.00
   117, 41756,2019, 4,27,    31.00,    22.00, -9999.00, -9999.00,     0.00
   118, 41756,2019, 4,28,    33.00,    22.00, -9999.00, -9999.00,     0.00
   119, 41756,2019, 4,29,    34.00,    22.00, -9999.00, -9999.00,     0.00
   120, 41756,2019, 4,30,    37.00,    23.00, -9999.00, -9999.00,     0.00
   121, 41756,2019, 5, 1,    28.00,    22.00, -9999.00, -9999.00,     0.00
   122, 41756,2019, 5, 2,    36.50,    23.50, -9999.00, -9999.00,     0.00
   123, 41756,2019, 5, 3,    35.50,    21.00, -9999.00, -9999.00,     0.00
   124, 41756,2019, 5, 4,    36.50,    24.00, -9999.00, -9999.00,     0.00
   125, 41756,2019, 5, 5,    37.50,    23.50, -9999.00, -9999.00,     0.00
