RECDNO,STATNO,YYYY,MM,DD,HH,TEMPERATR,WET TEMP ,DEWPOINT ,RELHUMIDY,SEALVLPRS,SURFPRESS,WINDSPEED,DIRECTION, RAIN 1  , RAIN 2   ,RPeriodi 1,RPeriod 2,TLTCLOUD ,LOW CLOUD,VISIBLITY
     2, 41620,2019, 1, 1, 0,     1.00, -9999.00,    -6.80,    52.37, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  2000.00
     0, 41620,   0, 0, 0, 0,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00,     0.00
     4, 41620,2019, 1, 1, 9, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     5, 41620,2019, 1, 1,12, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     6, 41620,2019, 1, 1,15, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     7, 41620,2019, 1, 1,18, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     8, 41620,2019, 1, 1,21, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
     9, 41620,2019, 1, 2, 0, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    10, 41620,2019, 1, 2, 3, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    11, 41620,2019, 1, 2, 6, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    12, 41620,2019, 1, 2, 6,    11.00, -9999.00,    -4.40,    32.21, -9999.00, -9999.00,     1.50,   230.00,     0.00,     0.00, -9999.00,     3.00,     0.00, -9999.00, 10000.00
    13, 41620,2019, 1, 2, 9,    15.00, -9999.00,    -2.80,    28.39, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00, -9999.00,     3.00,     0.00, -9999.00, 10000.00
    14, 41620,2019, 1, 2,12,    15.50, -9999.00,    -7.00,    19.20, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00, 10000.00
    15, 41620,2019, 1, 2,15,    11.00, -9999.00,    -4.40,    32.21, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  2000.00
    16, 41620,2019, 1, 2,18,     8.00, -9999.00,    -3.80,    41.47, -9999.00, -9999.00,     1.50,   180.00,     0.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  2000.00
    17, 41620,2019, 1, 2,21,     5.00, -9999.00,    -4.80,    46.84, -9999.00, -9999.00,     1.50,   180.00,     0.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  2000.00
    18, 41620,2019, 1, 3, 0,     2.00, -9999.00,    -7.30,    46.67, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  2000.00
    19, 41620,2019, 1, 3, 3,     2.00, -9999.00,    -7.30,    46.67, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  2000.00
    20, 41620,2019, 1, 3, 6,    10.00, -9999.00,    -6.30,    29.26, -9999.00, -9999.00,     1.50,   230.00,     0.00,     0.00,     6.00,     3.00,    38.00, -9999.00, 10000.00
    21, 41620,2019, 1, 3, 9,    15.00, -9999.00,    -2.80,    28.39, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00, -9999.00,     3.00,    38.00, -9999.00, 10000.00
    22, 41620,2019, 1, 3,12,    16.00, -9999.00,    -4.90,    22.28, -9999.00, -9999.00,     1.50,   180.00,     0.00,     0.00,    12.00,     3.00,    38.00, -9999.00, 10000.00
    23, 41620,2019, 1, 3,15,    12.00, -9999.00,    -6.80,    24.53, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00,    12.00,     3.00,    38.00, -9999.00,  2000.00
    24, 41620,2019, 1, 3,18,    10.00, -9999.00,    -4.20,    35.03, -9999.00, -9999.00,     1.50,   180.00,     0.00,     0.00,    18.00,     3.00,    38.00, -9999.00,  2000.00
    25, 41620,2019, 1, 3,21,     6.00, -9999.00,    -5.10,    42.59, -9999.00, -9999.00,     1.50,   180.00,     0.00,     0.00, -9999.00,     3.00,    38.00, -9999.00,  2000.00
    26, 41620,2019, 1, 4, 0,     3.00, -9999.00,    -5.80,    49.49, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00, -9999.00,     3.00,    38.00, -9999.00,  2000.00
    27, 41620,2019, 1, 4, 3,     5.00, -9999.00,    -4.80,    46.84, -9999.00, -9999.00,     1.50,   270.00,     0.00,     0.00,    12.00,     3.00,    38.00, -9999.00, 10000.00
    28, 41620,2019, 1, 4, 9, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    29, 41620,2019, 1, 4,12, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    30, 41620,2019, 1, 4,15, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    31, 41620,2019, 1, 4,15,     9.50, -9999.00,     2.90,    63.39, -9999.00, -9999.00,     2.60,   130.00,     0.00,     0.00,    12.00,     3.00,    50.00, -9999.00,  2000.00
    32, 41620,2019, 1, 4,21, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    33, 41620,2019, 1, 4,21,     5.00, -9999.00,     0.10,    70.56, -9999.00, -9999.00,     2.60,   180.00,     0.00,     0.00, -9999.00,     3.00,    25.00, -9999.00,  2000.00
    34, 41620,2019, 1, 5, 0,     3.00, -9999.00,    -4.00,    57.71, -9999.00, -9999.00,     2.60,   130.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  2000.00
    35, 41620,2019, 1, 5, 6, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    36, 41620,2019, 1, 5, 9, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    37, 41620,2019, 1, 5, 9,    11.50, -9999.00,    -3.50,    33.63, -9999.00, -9999.00,     3.60,   310.00,     0.00,     0.00, -9999.00,     3.00,    25.00, -9999.00, 10000.00
    38, 41620,2019, 1, 5,15, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    39, 41620,2019, 1, 5,18, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    40, 41620,2019, 1, 5,21, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00, -9999.00
    41, 41620,2019, 1, 5,21,     4.00, -9999.00,    -1.10,    68.60, -9999.00, -9999.00,     2.60,   180.00,     0.00,     0.00, -9999.00,     3.00,     0.00, -9999.00,  2000.00
    42, 41620,2019, 1, 6, 0,     2.00, -9999.00,    -3.60,    64.11, -9999.00, -9999.00,     1.50,    50.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00,  2000.00
    43, 41620,2019, 1, 6, 3,     2.50, -9999.00,    -6.60,    47.86, -9999.00, -9999.00,     1.50,   180.00,     0.00,     0.00,    12.00,     3.00,     0.00, -9999.00, 10000.00
